frame,wire_bytes,detail_bytes,detail_raw_bytes
0,108965,100629,348976
1,108965,100629,348976
2,108965,100629,348976
3,108965,100629,348976
4,108965,100629,348976
5,108965,100629,348976
6,108965,100629,348976
7,108965,100629,348976
8,108965,100629,348976
9,108965,100629,348976
10,108965,100629,348976
11,108965,100629,348976
12,108965,100629,348976
13,108965,100629,348976
14,108965,100629,348976
15,108965,100629,348976
16,108965,100629,348976
17,108965,100629,348976
18,108965,100629,348976
19,108965,100629,348976
20,108965,100629,348976
21,108965,100629,348976
22,108965,100629,348976
23,108965,100629,348976
24,108965,100629,348976
25,108965,100629,348976
26,108965,100629,348976
27,108965,100629,348976
28,108965,100629,348976
29,108965,100629,348976
30,108965,100629,348976
31,108965,100629,348976
32,108965,100629,348976
33,108965,100629,348976
34,108965,100629,348976
35,108965,100629,348976
36,108965,100629,348976
37,108965,100629,348976
38,108965,100629,348976
39,108965,100629,348976
40,108965,100629,348976
41,108965,100629,348976
42,108965,100629,348976
43,108965,100629,348976
44,108965,100629,348976
45,108965,100629,348976
46,108965,100629,348976
47,108965,100629,348976
48,108965,100629,348976
49,108965,100629,348976
50,108965,100629,348976
51,108965,100629,348976
52,108965,100629,348976
53,108965,100629,348976
54,108965,100629,348976
55,108965,100629,348976
56,108965,100629,348976
57,108965,100629,348976
58,108965,100629,348976
59,108965,100629,348976
60,108965,100629,348976
61,108965,100629,348976
62,108965,100629,348976
63,108965,100629,348976
64,108965,100629,348976
65,108965,100629,348976
66,108965,100629,348976
67,108965,100629,348976
68,108965,100629,348976
69,108965,100629,348976
70,108965,100629,348976
71,108965,100629,348976
72,108965,100629,348976
73,108965,100629,348976
74,108965,100629,348976
75,108965,100629,348976
76,108965,100629,348976
77,108965,100629,348976
78,108965,100629,348976
79,108965,100629,348976
