frame,wire_bytes,detail_bytes,detail_raw_bytes
0,108965,100629,348976
1,108965,100629,348976
2,108965,100629,348976
3,108965,100629,348976
4,108965,100629,348976
5,108965,100629,348976
6,108965,100629,348976
7,108965,100629,348976
8,127965,119629,379696
9,127965,119629,379696
10,127965,119629,379696
11,127965,119629,379696
12,127965,119629,379696
13,127965,119629,379696
14,127965,119629,379696
15,127965,119629,379696
16,134625,126289,410896
17,134625,126289,410896
18,134625,126289,410896
19,134625,126289,410896
20,134625,126289,410896
21,134625,126289,410896
22,134625,126289,410896
23,134625,126289,410896
24,131741,123405,450496
25,131741,123405,450496
26,131741,123405,450496
27,131741,123405,450496
28,131741,123405,450496
29,131741,123405,450496
30,131741,123405,450496
31,131741,123405,450496
32,150950,142614,483136
33,150950,142614,483136
34,150950,142614,483136
35,150950,142614,483136
36,150950,142614,483136
37,150950,142614,483136
38,150950,142614,483136
39,150950,142614,483136
40,145757,137421,519616
41,145757,137421,519616
42,145757,137421,519616
43,145757,137421,519616
44,145757,137421,519616
45,145757,137421,519616
46,145757,137421,519616
47,145757,137421,519616
48,145757,137421,519616
49,145757,137421,519616
50,145757,137421,519616
51,145757,137421,519616
52,145757,137421,519616
53,145757,137421,519616
54,145757,137421,519616
55,145757,137421,519616
56,145757,137421,519616
57,145757,137421,519616
58,145757,137421,519616
59,145757,137421,519616
60,145757,137421,519616
61,145757,137421,519616
62,145757,137421,519616
63,145757,137421,519616
64,145757,137421,519616
65,145757,137421,519616
66,145757,137421,519616
67,145757,137421,519616
68,145757,137421,519616
69,145757,137421,519616
70,145757,137421,519616
71,145757,137421,519616
72,145757,137421,519616
73,145757,137421,519616
74,145757,137421,519616
75,145757,137421,519616
76,145757,137421,519616
77,145757,137421,519616
78,145757,137421,519616
79,145757,137421,519616
