frame,wire_bytes,detail_bytes,detail_raw_bytes
0,87127,78602,359056
1,87127,78602,359056
2,87127,78602,359056
3,87127,78602,359056
4,87127,78602,359056
5,87127,78602,359056
6,87127,78602,359056
7,87127,78602,359056
8,87127,78602,359056
9,87127,78602,359056
10,87127,78602,359056
11,87127,78602,359056
12,87127,78602,359056
13,87127,78602,359056
14,87127,78602,359056
15,87127,78602,359056
16,87127,78602,359056
17,87127,78602,359056
18,87127,78602,359056
19,87127,78602,359056
20,87127,78602,359056
21,87127,78602,359056
22,87127,78602,359056
23,87127,78602,359056
24,87127,78602,359056
25,87127,78602,359056
26,87127,78602,359056
27,87127,78602,359056
28,87127,78602,359056
29,87127,78602,359056
30,87127,78602,359056
31,87127,78602,359056
32,87127,78602,359056
33,87127,78602,359056
34,87127,78602,359056
35,87127,78602,359056
36,87127,78602,359056
37,87127,78602,359056
38,87127,78602,359056
39,87127,78602,359056
40,87127,78602,359056
41,87127,78602,359056
42,87127,78602,359056
43,87127,78602,359056
44,87127,78602,359056
45,87127,78602,359056
46,87127,78602,359056
47,87127,78602,359056
48,87127,78602,359056
49,87127,78602,359056
50,87127,78602,359056
51,87127,78602,359056
52,87127,78602,359056
53,87127,78602,359056
54,87127,78602,359056
55,87127,78602,359056
56,87127,78602,359056
57,87127,78602,359056
58,87127,78602,359056
59,87127,78602,359056
60,87127,78602,359056
61,87127,78602,359056
62,87127,78602,359056
63,87127,78602,359056
64,87127,78602,359056
65,87127,78602,359056
66,87127,78602,359056
67,87127,78602,359056
68,87127,78602,359056
69,87127,78602,359056
70,87127,78602,359056
71,87127,78602,359056
72,87127,78602,359056
73,87127,78602,359056
74,87127,78602,359056
75,87127,78602,359056
76,87127,78602,359056
77,87127,78602,359056
78,87127,78602,359056
79,87127,78602,359056
