frame,wire_bytes,detail_bytes,detail_raw_bytes
0,87127,78602,359056
1,87127,78602,359056
2,87127,78602,359056
3,87127,78602,359056
4,87127,78602,359056
5,87127,78602,359056
6,87127,78602,359056
7,87127,78602,359056
8,104621,96096,382096
9,104621,96096,382096
10,104621,96096,382096
11,104621,96096,382096
12,104621,96096,382096
13,104621,96096,382096
14,104621,96096,382096
15,104621,96096,382096
16,109058,100533,412336
17,109058,100533,412336
18,109058,100533,412336
19,109058,100533,412336
20,109058,100533,412336
21,109058,100533,412336
22,109058,100533,412336
23,109058,100533,412336
24,102651,94126,459376
25,102651,94126,459376
26,102651,94126,459376
27,102651,94126,459376
28,102651,94126,459376
29,102651,94126,459376
30,102651,94126,459376
31,102651,94126,459376
32,120530,112005,486256
33,120530,112005,486256
34,120530,112005,486256
35,120530,112005,486256
36,120530,112005,486256
37,120530,112005,486256
38,120530,112005,486256
39,120530,112005,486256
40,115590,107065,527536
41,115590,107065,527536
42,115590,107065,527536
43,115590,107065,527536
44,115590,107065,527536
45,115590,107065,527536
46,115590,107065,527536
47,115590,107065,527536
48,115590,107065,527536
49,115590,107065,527536
50,115590,107065,527536
51,115590,107065,527536
52,115590,107065,527536
53,115590,107065,527536
54,115590,107065,527536
55,115590,107065,527536
56,115590,107065,527536
57,115590,107065,527536
58,115590,107065,527536
59,115590,107065,527536
60,115590,107065,527536
61,115590,107065,527536
62,115590,107065,527536
63,115590,107065,527536
64,115590,107065,527536
65,115590,107065,527536
66,115590,107065,527536
67,115590,107065,527536
68,115590,107065,527536
69,115590,107065,527536
70,115590,107065,527536
71,115590,107065,527536
72,115590,107065,527536
73,115590,107065,527536
74,115590,107065,527536
75,115590,107065,527536
76,115590,107065,527536
77,115590,107065,527536
78,115590,107065,527536
79,115590,107065,527536
