frame,wire_bytes,detail_bytes,detail_raw_bytes
0,65349,57609,359056
1,65349,57609,359056
2,65349,57609,359056
3,65349,57609,359056
4,65349,57609,359056
5,65349,57609,359056
6,65349,57609,359056
7,65349,57609,359056
8,80002,72262,382096
9,80002,72262,382096
10,80002,72262,382096
11,80002,72262,382096
12,80002,72262,382096
13,80002,72262,382096
14,80002,72262,382096
15,80002,72262,382096
16,82833,75093,412336
17,82833,75093,412336
18,82833,75093,412336
19,82833,75093,412336
20,82833,75093,412336
21,82833,75093,412336
22,82833,75093,412336
23,82833,75093,412336
24,76068,68328,459376
25,76068,68328,459376
26,76068,68328,459376
27,76068,68328,459376
28,76068,68328,459376
29,76068,68328,459376
30,76068,68328,459376
31,76068,68328,459376
32,91769,84029,486256
33,91769,84029,486256
34,91769,84029,486256
35,91769,84029,486256
36,91769,84029,486256
37,91769,84029,486256
38,91769,84029,486256
39,91769,84029,486256
40,84553,76813,527536
41,84553,76813,527536
42,84553,76813,527536
43,84553,76813,527536
44,84553,76813,527536
45,84553,76813,527536
46,84553,76813,527536
47,84553,76813,527536
48,84553,76813,527536
49,84553,76813,527536
50,84553,76813,527536
51,84553,76813,527536
52,84553,76813,527536
53,84553,76813,527536
54,84553,76813,527536
55,84553,76813,527536
56,84553,76813,527536
57,84553,76813,527536
58,84553,76813,527536
59,84553,76813,527536
60,84553,76813,527536
61,84553,76813,527536
62,84553,76813,527536
63,84553,76813,527536
64,84553,76813,527536
65,84553,76813,527536
66,84553,76813,527536
67,84553,76813,527536
68,84553,76813,527536
69,84553,76813,527536
70,84553,76813,527536
71,84553,76813,527536
72,84553,76813,527536
73,84553,76813,527536
74,84553,76813,527536
75,84553,76813,527536
76,84553,76813,527536
77,84553,76813,527536
78,84553,76813,527536
79,84553,76813,527536
