frame,wire_bytes,detail_bytes,detail_raw_bytes
0,78590,70850,522256
1,78590,70850,522256
2,78590,70850,522256
3,78590,70850,522256
4,78590,70850,522256
5,78590,70850,522256
6,78590,70850,522256
7,78590,70850,522256
8,78590,70850,522256
9,78590,70850,522256
10,78590,70850,522256
11,78590,70850,522256
12,78590,70850,522256
13,78590,70850,522256
14,78590,70850,522256
15,78590,70850,522256
16,78590,70850,522256
17,78590,70850,522256
18,78590,70850,522256
19,78590,70850,522256
20,78590,70850,522256
21,78590,70850,522256
22,78590,70850,522256
23,78590,70850,522256
24,78590,70850,522256
25,78590,70850,522256
26,78590,70850,522256
27,78590,70850,522256
28,78590,70850,522256
29,78590,70850,522256
30,78590,70850,522256
31,78590,70850,522256
32,78590,70850,522256
33,78590,70850,522256
34,78590,70850,522256
35,78590,70850,522256
36,78590,70850,522256
37,78590,70850,522256
38,78590,70850,522256
39,78590,70850,522256
40,78590,70850,522256
41,78590,70850,522256
42,78590,70850,522256
43,78590,70850,522256
44,78590,70850,522256
45,78590,70850,522256
46,78590,70850,522256
47,78590,70850,522256
48,78590,70850,522256
49,78590,70850,522256
50,78590,70850,522256
51,78590,70850,522256
52,78590,70850,522256
53,78590,70850,522256
54,78590,70850,522256
55,78590,70850,522256
56,78590,70850,522256
57,78590,70850,522256
58,78590,70850,522256
59,78590,70850,522256
60,78590,70850,522256
61,78590,70850,522256
62,78590,70850,522256
63,78590,70850,522256
64,78590,70850,522256
65,78590,70850,522256
66,78590,70850,522256
67,78590,70850,522256
68,78590,70850,522256
69,78590,70850,522256
70,78590,70850,522256
71,78590,70850,522256
72,78590,70850,522256
73,78590,70850,522256
74,78590,70850,522256
75,78590,70850,522256
76,78590,70850,522256
77,78590,70850,522256
78,78590,70850,522256
79,78590,70850,522256
