server_window,client_window,server_fps,server_encode_ms,server_payload_mbps,render_fps,fresh_source_fps,own_gpu_ms
1,1,90.5,4.1,81.20746,89.6,86.0,3.9
2,2,90.5,4.0,73.390432,89.2,87.5,3.1
3,3,90.0,3.8,66.0276,89.4,82.5,3.8
4,4,90.0,4.8,103.45248,89.7,83.0,4.2
5,5,90.5,4.8,104.032284,89.3,85.5,4.2
6,6,90.0,4.5,94.53168,89.2,81.5,3.6
7,7,90.0,4.1,75.73608,89.8,87.5,3.5
8,8,90.0,4.6,93.79512,89.3,79.5,4.0
9,9,90.0,4.1,82.79856,89.3,84.5,3.7
10,10,89.5,3.9,75.111264,89.7,89.5,3.3
11,11,90.0,3.6,64.98288,89.3,83.5,3.8
12,12,90.0,4.7,103.44888,89.3,77.5,4.2
13,13,89.5,5.0,95.164276,88.9,84.5,3.5
14,14,90.0,4.1,78.9156,90.2,85.0,3.7
15,15,90.0,4.1,81.21312,89.2,88.0,3.7
16,16,90.0,3.6,63.1656,89.3,87.0,3.4
17,17,90.0,4.6,79.50528,89.6,84.5,3.1
18,18,90.0,5.0,76.36824,89.4,83.0,3.4
19,19,90.0,4.3,84.12192,89.2,88.5,3.7
20,20,90.0,3.1,45.61056,89.7,89.5,2.0
21,21,89.5,4.0,68.87204,89.4,85.5,3.8
22,22,90.0,4.4,81.37872,89.2,86.0,2.9
23,23,90.0,3.5,53.47728,89.8,83.5,3.3
24,24,90.0,4.0,65.71008,89.2,89.0,2.2
25,25,90.0,3.1,44.92944,89.4,79.5,3.0
26,26,89.5,3.9,68.601392,89.7,89.5,3.1
27,27,90.0,3.1,42.45408,89.3,87.5,3.3
28,28,90.0,4.0,66.9384,89.2,88.0,2.4
29,29,90.0,3.0,42.19992,89.5,84.5,2.3
30,30,90.0,3.6,57.24576,89.6,88.5,2.4
31,31,90.0,4.1,76.284,89.4,88.5,3.2
32,32,89.5,4.4,80.86146,89.3,88.5,3.7
33,33,90.0,4.6,83.8656,89.7,88.0,4.2
