run,case,window,budget_mbps,payload_mbps
1,A,0,8.672,8.17282
1,A,1,8.672,6.97824
1,A,2,8.672,6.046612
1,A,3,8.672,4.75344
1,A,4,8.672,4.806256
1,A,5,8.672,4.806256
1,A,6,8.672,4.75344
1,A,7,8.672,4.806256
1,A,8,8.672,4.806256
1,A,9,8.672,4.75344
1,A,10,8.672,4.806256
1,A,11,8.672,4.75344
1,A,12,8.672,4.806256
1,A,13,8.672,4.806256
1,A,14,8.672,4.806256
1,A,15,8.672,4.75344
1,A,16,8.672,4.806256
1,A,17,8.672,4.806256
1,A,18,8.672,4.75344
1,A,19,8.672,4.806256
1,A,20,8.672,4.806256
1,A,21,8.672,4.75344
1,A,22,8.672,4.806256
1,A,23,8.672,4.806256
1,A,24,8.672,4.75344
1,A,25,8.672,4.806256
1,A,26,8.672,4.75344
1,A,27,8.672,4.806256
1,A,28,8.672,4.806256
1,A,29,8.672,4.75344
1,A,30,8.672,4.806256
1,A,31,8.672,4.806256
1,A,32,8.672,4.806256
1,A,33,8.672,4.75344
1,A,34,8.672,4.806256
1,A,35,8.672,4.806256
1,A,36,8.672,4.75344
1,A,37,8.672,4.806256
1,A,38,8.672,4.75344
1,A,39,8.672,4.806256
1,A,40,8.672,4.806256
1,A,41,8.672,4.75344
1,A,42,8.672,4.806256
1,A,43,8.672,4.806256
1,A,44,8.672,4.806256
1,A,45,8.672,4.806256
1,A,46,8.672,4.806256
1,A,47,8.672,4.806256
1,A,48,8.672,4.75344
1,A,49,8.672,4.806256
1,A,50,8.672,4.806256
1,A,51,8.672,4.806256
1,A,52,8.672,4.75344
1,A,53,8.672,4.806256
1,A,54,8.672,4.806256
1,A,55,8.672,4.75344
2,B,0,433.604,74.167576
2,B,1,433.604,75.400416
2,B,2,433.604,74.57904
2,B,3,433.604,74.574
2,B,4,433.604,74.57904
2,B,5,433.604,74.574
2,B,6,433.604,74.57904
2,B,7,433.604,74.574
2,B,8,433.604,74.57904
2,B,9,433.604,74.574
2,B,10,433.604,74.57904
2,B,11,433.604,74.574
2,B,12,433.604,74.57904
2,B,13,433.604,74.574
2,B,14,433.604,74.57904
2,B,15,433.604,74.574
2,B,16,433.604,74.57904
2,B,17,433.604,74.574
2,B,18,433.604,74.57904
2,B,19,433.604,74.574
2,B,20,433.604,74.57904
2,B,21,433.604,74.574
2,B,22,433.604,74.57904
2,B,23,433.604,74.574
2,B,24,433.604,74.57904
2,B,25,433.604,74.574
2,B,26,433.604,74.57904
2,B,27,433.604,74.574
2,B,28,433.604,74.57904
2,B,29,433.604,74.574
2,B,30,433.604,74.57904
2,B,31,433.604,74.574
2,B,32,433.604,74.57904
2,B,33,433.604,74.574
2,B,34,433.604,74.57904
2,B,35,433.604,74.574
2,B,36,433.604,74.57904
2,B,37,433.604,74.574
2,B,38,433.604,74.57904
2,B,39,433.604,74.574
2,B,40,433.604,74.57904
2,B,41,433.604,74.574
2,B,42,433.604,74.57904
2,B,43,433.604,74.574
2,B,44,433.604,74.57904
2,B,45,433.604,74.574
2,B,46,433.604,74.57904
2,B,47,433.604,74.574
2,B,48,433.604,74.57904
2,B,49,433.604,74.574
2,B,50,433.604,74.57904
2,B,51,433.604,74.574
2,B,52,277.507,63.0504
2,B,53,277.507,46.9764
2,B,54,277.507,46.9692
2,B,55,277.507,46.9764
3,B,0,433.604,74.574
3,B,1,433.604,74.994092
3,B,2,433.604,74.574
3,B,3,433.604,74.57904
3,B,4,433.604,74.574
3,B,5,433.604,74.57904
3,B,6,433.604,74.574
3,B,7,433.604,74.57904
3,B,8,433.604,74.574
3,B,9,433.604,74.57904
3,B,10,433.604,74.574
3,B,11,433.604,74.57904
3,B,12,433.604,74.574
3,B,13,433.604,74.57904
3,B,14,433.604,74.574
3,B,15,433.604,74.57904
3,B,16,433.604,74.574
3,B,17,433.604,74.57904
3,B,18,433.604,74.574
3,B,19,433.604,74.57904
3,B,20,433.604,74.574
3,B,21,433.604,74.57904
3,B,22,433.604,74.574
3,B,23,433.604,74.57904
3,B,24,433.604,74.574
3,B,25,433.604,74.57904
3,B,26,433.604,74.574
3,B,27,433.604,74.57904
3,B,28,433.604,74.574
3,B,29,433.604,74.57904
3,B,30,433.604,74.574
3,B,31,433.604,74.57904
3,B,32,433.604,74.574
3,B,33,433.604,74.57904
3,B,34,433.604,74.574
3,B,35,433.604,74.57904
3,B,36,433.604,74.574
3,B,37,433.604,74.57904
3,B,38,433.604,74.574
3,B,39,433.604,74.57904
3,B,40,433.604,74.574
3,B,41,433.604,74.57904
3,B,42,433.604,74.574
3,B,43,433.604,74.57904
3,B,44,433.604,74.574
3,B,45,433.604,74.57904
3,B,46,433.604,74.574
3,B,47,433.604,74.57904
3,B,48,433.604,74.574
3,B,49,433.604,74.57904
3,B,50,433.604,74.574
3,B,51,433.604,74.57904
3,B,52,433.604,74.574
3,B,53,433.604,74.57904
3,B,54,433.604,74.574
3,B,55,433.604,74.57904
4,A,0,8.672,8.974224
4,A,1,8.672,6.977664
4,A,2,8.672,6.48384
4,A,3,8.672,4.806256
4,A,4,8.672,4.806256
4,A,5,8.672,4.806256
4,A,6,8.672,4.806256
4,A,7,8.672,4.806256
4,A,8,8.672,4.75344
4,A,9,8.672,4.75344
4,A,10,8.672,4.75344
4,A,11,8.672,4.806256
4,A,12,8.672,4.806256
4,A,13,8.672,4.75344
4,A,14,8.672,4.806256
4,A,15,8.672,4.806256
4,A,16,8.672,4.75344
4,A,17,8.672,4.806256
4,A,18,8.672,4.806256
4,A,19,8.672,4.75344
4,A,20,8.672,4.806256
4,A,21,8.672,4.806256
4,A,22,8.672,4.75344
4,A,23,8.672,4.75344
4,A,24,8.672,4.806256
4,A,25,8.672,4.75344
4,A,26,8.672,4.806256
4,A,27,8.672,4.75344
4,A,28,8.672,4.75344
4,A,29,8.672,4.806256
4,A,30,8.672,4.75344
4,A,31,8.672,4.806256
4,A,32,8.672,4.806256
4,A,33,8.672,4.75344
4,A,34,8.672,4.806256
4,A,35,8.672,4.75344
4,A,36,8.672,4.75344
4,A,37,8.672,4.75344
4,A,38,8.672,4.806256
4,A,39,8.672,4.806256
4,A,40,8.672,4.75344
4,A,41,8.672,4.806256
4,A,42,8.672,4.806256
4,A,43,8.672,4.806256
4,A,44,8.672,4.75344
4,A,45,8.672,4.806256
4,A,46,8.672,4.806256
4,A,47,8.672,4.75344
4,A,48,8.672,4.806256
4,A,49,8.672,4.75344
4,A,50,8.672,4.75344
4,A,51,8.672,4.806256
4,A,52,8.672,4.75344
4,A,53,8.672,4.806256
4,A,54,8.672,4.75344
4,A,55,8.672,4.806256
