run,case,window,fresh_fps,derived_delay_ms
1,A,0,71.84,46.0
1,A,1,58.86888888888889,53.8
1,A,2,45.398888888888884,58.3
1,A,3,44.9,60.1
1,A,4,44.9,59.0
1,A,5,44.9,58.6
1,A,6,45.398888888888884,60.800000000000004
1,A,7,44.85,57.0
1,A,8,44.9,61.3
1,A,9,44.9,56.5
1,A,10,44.9,60.1
1,A,11,45.398888888888884,57.9
1,A,12,44.9,60.1
1,A,13,44.40111111111111,57.6
1,A,14,44.9,58.9
1,A,15,45.398888888888884,60.1
1,A,16,44.9,57.8
1,A,17,44.9,61.9
1,A,18,43.90222222222222,56.699999999999996
1,A,19,44.9,60.9
1,A,20,45.398888888888884,55.8
1,A,21,44.9,58.6
1,A,22,44.9,58.2
1,A,23,44.9,57.1
1,A,24,45.348333333333336,60.1
1,A,25,44.9,58.2
1,A,26,44.9,61.3
1,A,27,44.9,56.5
1,A,28,44.9,60.7
1,A,29,45.398888888888884,57.0
1,A,30,44.9,61.1
1,A,31,44.9,58.3
1,A,32,44.85,59.9
1,A,33,45.398888888888884,59.7
1,A,34,44.9,58.800000000000004
1,A,35,44.9,60.9
1,A,36,44.9,57.5
1,A,37,44.9,60.6
1,A,38,45.348333333333336,57.1
1,A,39,44.9,61.400000000000006
1,A,40,44.9,57.400000000000006
1,A,41,44.9,60.4
1,A,42,45.348333333333336,59.199999999999996
1,A,43,44.40111111111111,57.6
1,A,44,44.9,60.1
1,A,45,44.9,57.9
1,A,46,45.398888888888884,61.2
1,A,47,44.85,56.400000000000006
1,A,48,44.9,61.4
1,A,49,44.9,57.4
1,A,50,44.9,59.6
1,A,51,45.398888888888884,57.5
1,A,52,44.9,59.4
1,A,53,44.9,59.1
1,A,54,44.9,58.5
2,B,0,89.7,46.199999999999996
2,B,1,89.7,44.5
2,B,2,89.8,43.2
2,B,3,89.8,43.0
2,B,4,89.30111111111111,42.6
2,B,5,89.8,42.8
2,B,6,89.8,42.599999999999994
2,B,7,89.8,43.0
2,B,8,89.8,43.099999999999994
2,B,9,89.8,43.0
2,B,10,89.8,43.0
2,B,11,89.8,42.8
2,B,12,89.8,42.9
2,B,13,89.8,42.699999999999996
2,B,14,89.8,43.0
2,B,15,89.8,43.1
2,B,16,89.8,42.8
2,B,17,89.8,42.8
2,B,18,89.8,42.8
2,B,19,89.8,42.5
2,B,20,89.8,42.699999999999996
2,B,21,89.8,41.1
2,B,22,89.8,40.9
2,B,23,89.8,41.1
2,B,24,89.8,40.9
2,B,25,89.8,40.699999999999996
2,B,26,89.8,41.3
2,B,27,89.8,41.0
2,B,28,88.50828729281768,40.9
2,B,29,89.7,45.3
2,B,30,89.8,44.599999999999994
2,B,31,89.8,44.1
2,B,32,89.8,44.6
2,B,33,89.8,44.3
2,B,34,89.8,43.9
2,B,35,89.8,44.0
2,B,36,89.7,42.199999999999996
2,B,37,89.8,41.099999999999994
2,B,38,89.8,41.0
2,B,39,89.8,41.1
2,B,40,89.8,41.0
2,B,41,89.8,40.8
2,B,42,89.30111111111111,40.9
2,B,43,89.8,41.1
2,B,44,89.8,40.699999999999996
2,B,45,89.8,41.1
2,B,46,88.80222222222223,41.7
2,B,47,89.8,41.2
2,B,48,89.8,40.9
2,B,49,89.8,41.2
2,B,50,87.90222222222222,41.199999999999996
2,B,51,59.93333333333334,61.9
2,B,52,89.7,46.8
2,B,53,89.30111111111111,45.7
2,B,54,89.6,44.0
3,B,0,89.7,45.0
3,B,1,89.7,43.699999999999996
3,B,2,89.8,42.8
3,B,3,89.8,42.7
3,B,4,89.8,41.699999999999996
3,B,5,89.8,41.0
3,B,6,89.8,41.0
3,B,7,89.8,40.9
3,B,8,89.8,40.9
3,B,9,89.8,41.0
3,B,10,89.30111111111111,40.7
3,B,11,89.8,41.0
3,B,12,89.30111111111111,41.3
3,B,13,89.30111111111111,40.9
3,B,14,89.8,41.2
3,B,15,89.8,41.3
3,B,16,89.8,40.9
3,B,17,89.30111111111111,41.2
3,B,18,89.8,41.3
3,B,19,88.80222222222223,40.699999999999996
3,B,20,89.8,41.3
3,B,21,89.8,41.0
3,B,22,88.80222222222223,40.9
3,B,23,89.8,41.5
3,B,24,89.8,41.3
3,B,25,89.8,41.1
3,B,26,89.8,41.199999999999996
3,B,27,89.8,41.0
3,B,28,89.30111111111111,41.1
3,B,29,89.30111111111111,41.3
3,B,30,89.8,41.1
3,B,31,89.8,41.199999999999996
3,B,32,89.30111111111111,41.4
3,B,33,89.8,41.3
3,B,34,89.8,41.199999999999996
3,B,35,89.8,40.9
3,B,36,89.8,40.9
3,B,37,89.8,41.3
3,B,38,89.8,41.1
3,B,39,89.8,40.9
3,B,40,89.30111111111111,41.199999999999996
3,B,41,89.8,40.9
3,B,42,89.8,40.8
3,B,43,89.8,41.1
3,B,44,89.8,40.9
3,B,45,89.8,40.8
3,B,46,89.30111111111111,41.4
3,B,47,89.8,41.1
3,B,48,89.30111111111111,41.199999999999996
3,B,49,89.30111111111111,42.1
3,B,50,89.8,41.5
3,B,51,89.8,41.5
3,B,52,89.8,41.8
3,B,53,89.8,41.3
3,B,54,89.8,41.1
4,A,0,71.26166666666667,45.4
4,A,1,65.42722222222223,50.0
4,A,2,44.85,56.6
4,A,3,45.398888888888884,60.099999999999994
4,A,4,44.9,55.3
4,A,5,44.9,59.0
4,A,6,44.9,54.3
4,A,7,45.398888888888884,58.8
4,A,8,44.9,55.5
4,A,9,44.85,58.1
4,A,10,45.398888888888884,57.2
4,A,11,44.40111111111111,56.4
4,A,12,45.398888888888884,59.2
4,A,13,44.9,55.6
4,A,14,43.40333333333333,61.3
4,A,15,44.9,55.199999999999996
4,A,16,44.9,59.7
4,A,17,45.398888888888884,56.2
4,A,18,44.40111111111111,57.4
4,A,19,44.85,57.8
4,A,20,44.40111111111111,57.0
4,A,21,45.398888888888884,58.8
4,A,22,44.9,56.3
4,A,23,44.9,58.7
4,A,24,44.9,54.9
4,A,25,44.9,60.0
4,A,26,45.398888888888884,55.199999999999996
4,A,27,44.9,58.8
4,A,28,44.9,56.9
4,A,29,44.9,57.8
4,A,30,44.9,58.1
4,A,31,44.9,56.5
4,A,32,44.9,59.5
4,A,33,44.85,54.699999999999996
4,A,34,45.398888888888884,60.2
4,A,35,44.9,54.0
4,A,36,44.9,57.9
4,A,37,44.9,55.1
4,A,38,44.9,58.1
4,A,39,44.9,56.300000000000004
4,A,40,44.9,56.900000000000006
4,A,41,44.9,58.699999999999996
4,A,42,44.9,55.2
4,A,43,44.9,59.9
4,A,44,44.9,54.9
4,A,45,44.9,59.800000000000004
4,A,46,44.9,56.0
4,A,47,44.9,58.4
4,A,48,45.348333333333336,56.4
4,A,49,44.9,57.6
4,A,50,44.9,59.0
4,A,51,44.9,56.6
4,A,52,45.398888888888884,59.800000000000004
4,A,53,44.85,55.5
4,A,54,44.9,59.9
