window,budget_mbps,payload_mbps,fresh_fps,derived_delay_ms,holes
0,433.604,63.49608,89.8,43.699999999999996,0
1,433.604,64.013908,89.30111111111111,43.3,0
2,433.604,63.7236,89.7,41.4,0
3,433.604,63.7236,89.8,40.6,0
4,433.604,63.7236,89.8,40.4,0
5,433.604,63.7236,89.8,40.199999999999996,0
6,433.604,63.7236,89.8,40.5,0
7,433.604,63.7236,89.8,40.1,0
8,433.604,63.7236,89.8,40.2,0
9,433.604,63.7236,89.8,40.4,0
10,433.604,63.7236,89.8,40.5,0
11,433.604,63.6012,89.8,40.4,0
12,433.604,63.7236,89.8,40.5,0
13,433.604,63.7236,89.8,40.5,0
14,433.604,63.7236,89.8,40.199999999999996,0
15,433.604,63.7236,89.30111111111111,40.4,0
16,433.604,63.7236,89.30111111111111,40.1,0
17,433.604,63.7236,89.8,40.3,0
18,433.604,63.7236,89.8,40.0,0
19,433.604,63.7236,89.8,39.7,0
20,433.604,63.84024,89.8,39.7,0
21,433.604,63.7236,89.8,40.1,0
22,433.604,63.7236,89.8,40.1,0
23,433.604,63.60552,89.8,40.7,0
24,433.604,63.7236,89.8,40.6,0
25,433.604,63.7236,89.30111111111111,40.9,0
26,433.604,63.7236,89.30111111111111,41.1,0
27,433.604,63.7236,89.8,41.1,0
28,433.604,63.7236,89.8,41.3,0
29,433.604,63.7236,89.8,41.699999999999996,0
30,433.604,63.7236,89.8,41.4,0
31,433.604,63.7236,89.8,41.4,0
32,433.604,63.7236,89.8,41.3,0
33,433.604,63.84888,89.8,41.3,0
34,433.604,63.7236,89.8,41.6,0
35,433.604,63.60552,89.8,41.6,0
36,433.604,63.7236,89.8,41.4,0
37,433.604,63.7236,89.8,41.7,0
38,433.604,63.8424,89.30111111111111,41.2,0
39,433.604,63.7236,89.8,41.1,0
40,433.604,63.60552,89.30111111111111,41.4,0
41,433.604,63.7236,89.7,41.4,0
42,433.604,63.7236,89.8,41.4,0
43,433.604,63.84888,89.8,41.5,0
44,433.604,63.7236,89.8,41.1,0
45,433.604,63.60552,89.8,41.1,0
46,433.604,63.7236,88.80222222222223,41.3,0
47,433.604,63.7236,89.30111111111111,41.2,0
48,433.604,63.7236,89.8,40.8,0
49,433.604,63.7236,89.8,40.6,0
50,433.604,63.7236,89.8,40.6,0
51,433.604,63.7236,89.8,40.3,0
52,433.604,63.7236,89.8,40.5,0
53,433.604,63.7236,89.8,40.4,0
54,433.604,63.7236,89.8,40.3,0
55,433.604,63.7236,89.8,40.1,0
56,433.604,63.7236,89.8,40.2,0
57,433.604,63.7236,89.8,39.7,0
58,433.604,63.7236,88.30333333333333,40.6,0
59,433.604,63.7236,89.8,41.6,0
60,433.604,63.7236,89.50276243093923,42.0,0
