kind,scene,shift,mode,encode_ms,encode_p95_ms,wire_bytes
predictor,forest,0,baseline,3.682117,4.037214,72856
predictor,forest,0,predictor,4.171505,4.213426,66883
predictor,forest,8,baseline,3.749288,4.012363,71998
predictor,forest,8,predictor,4.164876,4.228267,66332
predictor,dark,0,baseline,4.226076,4.434861,110545
predictor,dark,0,predictor,4.766736,5.066922,99365
predictor,dark,8,baseline,4.130635,4.41363,110550
predictor,dark,8,predictor,4.721956,5.182144,98874
cache,forest,,cache-off,3.711197,3.982401,72856
cache,forest,,cache-on,3.069056,3.31388,72856
cache,forest,,cache-on,3.196268,3.451622,72856
cache,forest,,cache-off,3.829689,4.096115,72856
cache,dark,,cache-off,3.996842,4.241907,110545
cache,dark,,cache-on,3.037565,3.27835,110545
cache,dark,,cache-on,3.031654,3.27264,110545
cache,dark,,cache-off,4.143715,4.775976,110545
copy,forest,,copy-1-cache-0,3.846859,4.125434,72856
copy,forest,,copy-0-cache-0,104.404062,125.082506,72856
copy,forest,,copy-0-cache-1,96.906118,102.247295,72856
copy,forest,,copy-1-cache-1,3.019074,3.265569,72856
copy,forest,,copy-1-cache-1,3.079045,3.398632,72856
copy,forest,,copy-0-cache-1,100.560535,115.755059,72856
