run,case,mode,window,budget_mbps,payload_mbps
1,A,AIMD,0,8.672,8.323904
1,A,AIMD,1,8.672,6.977664
1,A,AIMD,2,8.672,5.99808
1,A,AIMD,3,17.344,4.90176
1,A,AIMD,4,11.1,5.538624
1,A,AIMD,5,8.88,4.859764
1,A,AIMD,6,8.88,4.75344
1,A,AIMD,7,8.88,4.806256
1,A,AIMD,8,8.88,4.806256
1,A,AIMD,9,8.88,4.806256
1,A,AIMD,10,8.88,4.75344
1,A,AIMD,11,8.88,4.806256
1,A,AIMD,12,8.88,4.806256
1,A,AIMD,13,8.88,4.75344
1,A,AIMD,14,8.88,4.806256
1,A,AIMD,15,8.88,4.806256
1,A,AIMD,16,8.88,4.75344
1,A,AIMD,17,8.88,4.806256
1,A,AIMD,18,8.88,4.806256
1,A,AIMD,19,8.88,4.75344
1,A,AIMD,20,8.88,4.806256
1,A,AIMD,21,8.88,4.75344
1,A,AIMD,22,8.88,4.806256
1,A,AIMD,23,8.88,4.806256
1,A,AIMD,24,8.88,4.806256
1,A,AIMD,25,8.88,4.75344
1,A,AIMD,26,8.88,4.806256
1,A,AIMD,27,8.88,4.75344
1,A,AIMD,28,8.88,4.806256
1,A,AIMD,29,8.88,4.806256
1,A,AIMD,30,8.88,4.75344
1,A,AIMD,31,8.88,4.75344
1,A,AIMD,32,8.88,4.806256
1,A,AIMD,33,8.88,4.75344
1,A,AIMD,34,8.88,4.806256
1,A,AIMD,35,8.88,4.75344
1,A,AIMD,36,8.88,4.75344
1,A,AIMD,37,8.88,4.806256
1,A,AIMD,38,8.88,4.75344
1,A,AIMD,39,8.88,4.806256
1,A,AIMD,40,8.88,4.806256
1,A,AIMD,41,8.88,4.75344
1,A,AIMD,42,8.88,4.806256
1,A,AIMD,43,8.88,4.75344
1,A,AIMD,44,8.88,4.806256
1,A,AIMD,45,8.88,4.806256
1,A,AIMD,46,8.88,4.75344
1,A,AIMD,47,8.88,4.806256
1,A,AIMD,48,8.88,4.806256
1,A,AIMD,49,8.88,4.75344
1,A,AIMD,50,8.88,4.806256
1,A,AIMD,51,8.88,4.806256
1,A,AIMD,52,8.88,4.75344
1,A,AIMD,53,8.88,4.806256
1,A,AIMD,54,8.88,4.806256
1,A,AIMD,55,8.88,4.75344
2,B,BBR,0,9.517,7.608848
2,B,BBR,1,9.517,7.655416
2,B,BBR,2,9.517,7.65668
2,B,BBR,3,9.517,7.656048
2,B,BBR,4,9.517,7.655416
2,B,BBR,5,9.517,7.608848
2,B,BBR,6,9.517,7.606964
2,B,BBR,7,9.517,7.60822
2,B,BBR,8,9.517,7.65668
2,B,BBR,9,9.517,7.655416
2,B,BBR,10,9.517,7.608848
2,B,BBR,11,9.517,7.656048
2,B,BBR,12,9.517,7.607592
2,B,BBR,13,9.517,7.657312
2,B,BBR,14,9.517,7.606964
2,B,BBR,15,9.517,7.657312
2,B,BBR,16,9.517,7.607592
2,B,BBR,17,9.517,7.656048
2,B,BBR,18,9.517,7.657312
2,B,BBR,19,9.517,7.655416
2,B,BBR,20,9.517,7.65668
2,B,BBR,21,9.517,7.656048
2,B,BBR,22,9.517,7.655416
2,B,BBR,23,9.517,7.657312
2,B,BBR,24,9.517,7.655416
2,B,BBR,25,9.517,7.60822
2,B,BBR,26,9.517,7.65668
2,B,BBR,27,9.517,7.655416
2,B,BBR,28,9.517,7.657312
2,B,BBR,29,9.517,7.655416
2,B,BBR,30,9.517,7.656048
2,B,BBR,31,9.517,7.65668
2,B,BBR,32,9.517,7.606964
2,B,BBR,33,9.517,7.657312
2,B,BBR,34,9.517,7.655416
2,B,BBR,35,9.517,7.656048
2,B,BBR,36,9.517,7.657312
2,B,BBR,37,9.517,7.655416
2,B,BBR,38,9.517,7.657312
2,B,BBR,39,9.517,7.656048
2,B,BBR,40,9.517,7.607592
2,B,BBR,41,9.517,7.657312
2,B,BBR,42,9.517,7.655416
2,B,BBR,43,9.517,7.65668
2,B,BBR,44,9.517,7.656048
2,B,BBR,45,9.517,7.655416
2,B,BBR,46,9.517,7.657312
2,B,BBR,47,9.517,7.655416
2,B,BBR,48,9.517,7.65668
2,B,BBR,49,9.517,7.60822
2,B,BBR,50,9.517,7.655416
2,B,BBR,51,9.517,7.657312
2,B,BBR,52,9.517,7.655416
2,B,BBR,53,9.517,7.656048
2,B,BBR,54,9.517,7.65668
2,B,BBR,55,9.517,7.606964
3,A,AIMD,0,8.788,8.639604
3,A,AIMD,1,8.788,6.977664
3,A,AIMD,2,8.788,6.523384
3,A,AIMD,3,8.788,4.806256
3,A,AIMD,4,8.788,4.75344
3,A,AIMD,5,8.788,4.806256
3,A,AIMD,6,8.788,4.75344
3,A,AIMD,7,8.788,4.75344
3,A,AIMD,8,8.788,4.806256
3,A,AIMD,9,8.788,4.806256
3,A,AIMD,10,8.788,4.806256
3,A,AIMD,11,8.788,4.75344
3,A,AIMD,12,8.788,4.806256
3,A,AIMD,13,8.788,4.75344
