case,metric,runs,mean_of_run_means,min_run_mean,max_run_mean
A,codec_wire_mbps,2,83.5891995609756,83.56092107317073,83.61747804878048
A,server_encode_ms,2,4.337804878048781,4.336585365853659,4.339024390243902
A,decode_ms,2,0.6,0.6,0.6
A,fresh_fps,2,88.39867008069521,88.24273355058969,88.55460661080075
A,derived_software_delay_ms,2,45.35875,44.505,46.2125
B,codec_wire_mbps,2,74.54633785365854,74.52642926829269,74.5662464390244
B,server_encode_ms,2,3.678048780487805,3.624390243902439,3.731707317073171
B,decode_ms,2,1.1075,1.0825,1.1325
B,fresh_fps,2,83.23156040502793,82.47620282433272,83.98691798572315
B,derived_software_delay_ms,2,47.01375,47.0025,47.025
