run,case,cache,metric,n_windows,mean,min_window,median_window,p95_window,max_window
1,A,0,server_fps,41,90.03658536585365,89.5,90.0,90.5,91.0
1,A,0,server_encode_ms,41,4.339024390243902,4.3,4.3,4.5,4.5
1,A,0,codec_wire_mbps,41,83.61747804878048,83.11686,83.58336,84.04916,84.512064
1,A,0,render_fps,40,89.4275,89.3,89.3,89.7,89.8
1,A,0,fresh_fps,40,88.55460661080075,81.31787709497206,88.80111731843574,89.7,89.8
1,A,0,decode_ms,40,0.6,0.6,0.6,0.6,0.6
1,A,0,derived_software_delay_ms,40,44.505,43.0,44.5,45.4,46.5
1,A,0,wire_ms,40,10.6175,10.3,10.6,10.7,11.3
2,B,1,server_fps,41,89.98780487804878,89.0,90.0,90.5,91.0
2,B,1,server_encode_ms,41,3.731707317073171,3.5,3.6,4.4,5.2
2,B,1,codec_wire_mbps,41,74.5662464390244,73.75252,74.57616,74.994092,75.4026
2,B,1,render_fps,40,89.435,89.2,89.3,89.8,89.8
2,B,1,fresh_fps,40,82.47620282433272,47.89333333333333,86.55614525139666,89.7,89.8
2,B,1,decode_ms,40,1.0825,0.7,1.1,1.1,1.1
2,B,1,derived_software_delay_ms,40,47.0025,44.9,46.05,49.8,63.300000000000004
2,B,1,wire_ms,40,10.48,8.8,10.5,10.7,16.3
3,B,1,server_fps,41,89.9390243902439,89.0,90.0,91.0,91.0
3,B,1,server_encode_ms,41,3.624390243902439,3.5,3.6,3.7,3.9
3,B,1,codec_wire_mbps,41,74.52642926829269,73.7454,74.57616,75.4026,75.414248
3,B,1,render_fps,40,89.435,89.2,89.3,89.8,89.8
3,B,1,fresh_fps,40,83.98691798572315,68.34692737430167,87.00614525139665,88.80222222222223,89.7
3,B,1,decode_ms,40,1.1325,1.1,1.1,1.2,1.2
3,B,1,derived_software_delay_ms,40,47.025,44.2,47.05,48.699999999999996,49.2
3,B,1,wire_ms,40,10.4775,9.6,10.5,10.8,10.9
4,A,0,server_fps,41,89.97560975609755,89.5,90.0,90.0,90.5
4,A,0,server_encode_ms,41,4.336585365853659,4.2,4.3,4.5,4.5
4,A,0,codec_wire_mbps,41,83.56092107317073,83.115428,83.58336,83.58984,84.052056
4,A,0,render_fps,40,89.4275,89.2,89.3,89.8,89.9
4,A,0,fresh_fps,40,88.24273355058969,84.31117318435753,88.3022346368715,89.6,89.7
4,A,0,decode_ms,40,0.6,0.6,0.6,0.6,0.6
4,A,0,derived_software_delay_ms,40,46.2125,42.6,46.2,48.4,48.6
4,A,0,wire_ms,40,10.4575,6.8,10.6,10.7,11.3
