run,case,window,budget_mbps,payload_mbps,encode_ms
1,A,0,10.055,8.12592,1.5
1,A,1,10.055,8.077328,1.4
1,A,2,10.055,8.027424,1.4
1,A,3,10.055,8.077328,1.4
1,A,4,10.055,8.12658,1.4
1,A,5,10.055,8.076672,1.4
1,A,6,10.055,8.077328,1.4
1,A,7,10.055,8.076672,1.4
1,A,8,10.055,8.12592,1.4
1,A,9,10.055,8.027424,1.4
1,A,10,10.055,8.076672,1.4
1,A,11,10.055,8.077328,1.4
1,A,12,10.055,8.076672,1.4
1,A,13,10.055,8.028076,1.4
1,A,14,10.055,8.076672,1.4
1,A,15,10.055,8.12592,1.4
1,A,16,10.055,8.027424,1.4
1,A,17,10.055,8.027424,1.4
1,A,18,10.055,8.12658,1.4
1,A,19,10.055,8.12592,1.4
1,A,20,10.055,8.028076,1.4
1,A,21,10.055,8.076672,1.4
1,A,22,10.055,8.076672,1.4
1,A,23,10.055,8.028076,1.4
1,A,24,10.055,8.077328,1.4
1,A,25,10.055,8.077328,1.4
1,A,26,10.055,8.076672,1.4
1,A,27,10.055,8.077328,1.4
1,A,28,10.055,8.076672,1.4
1,A,29,10.055,8.077328,1.4
1,A,30,10.055,8.077328,1.4
1,A,31,10.055,8.027424,1.4
1,A,32,10.055,8.077328,1.4
1,A,33,10.055,8.076672,1.4
1,A,34,10.055,8.076672,1.4
1,A,35,10.055,8.027424,1.4
1,A,36,10.055,8.077328,1.4
1,A,37,10.055,8.076672,1.4
1,A,38,10.055,8.076672,1.4
1,A,39,10.055,8.028076,1.4
1,A,40,10.055,8.12592,1.4
1,A,41,10.055,8.077328,1.4
1,A,42,10.055,8.076672,1.4
1,A,43,10.055,8.076672,1.4
1,A,44,10.055,8.076672,1.4
1,A,45,10.055,8.076672,1.4
1,A,46,10.055,8.077328,1.4
1,A,47,10.055,8.076672,1.4
1,A,48,10.055,8.028076,1.4
1,A,49,10.055,8.077328,1.4
1,A,50,10.055,8.076672,1.4
1,A,51,10.055,8.12658,1.4
1,A,52,10.055,8.027424,1.4
1,A,53,10.055,8.028076,1.4
1,A,54,10.055,8.12658,1.4
1,A,55,10.055,8.12592,1.4
1,A,56,10.055,8.077328,1.4
1,A,57,10.055,8.076672,1.4
1,A,58,10.055,8.077328,1.4
1,A,59,10.055,8.12658,1.4
