run,case,window,budget_mbps,payload_mbps
1,A,0,9.724,8.36976
1,A,1,9.724,7.829796
1,A,2,9.724,7.782448
1,A,3,9.724,7.829796
1,A,4,9.724,7.782448
1,A,5,9.724,7.830432
1,A,6,9.724,7.781816
1,A,7,9.724,7.781184
1,A,8,9.724,7.781816
1,A,9,9.724,7.831068
1,A,10,9.724,7.830432
1,A,11,9.724,7.831068
1,A,12,9.724,7.781184
1,A,13,9.724,7.781816
1,A,14,9.724,7.830432
1,A,15,9.724,7.782448
1,A,16,9.724,7.780552
1,A,17,9.724,7.831704
1,A,18,9.724,7.830432
1,A,19,9.724,7.831068
1,A,20,9.724,7.781184
1,A,21,9.724,7.781816
1,A,22,9.724,7.831068
1,A,23,9.724,7.830432
1,A,24,9.724,7.831068
1,A,25,9.724,7.830432
1,A,26,9.724,7.831704
1,A,27,9.724,7.829796
1,A,28,9.724,7.782448
1,A,29,9.724,7.829796
1,A,30,9.724,7.831704
1,A,31,9.724,7.830432
1,A,32,9.724,7.831068
1,A,33,9.724,7.830432
1,A,34,9.724,7.781816
1,A,35,9.724,7.831068
1,A,36,9.724,7.830432
1,A,37,9.724,7.831068
1,A,38,9.724,7.830432
1,A,39,9.724,7.831704
1,A,40,9.724,7.780552
1,A,41,9.724,7.831704
1,A,42,9.724,7.780552
1,A,43,9.724,7.831704
1,A,44,9.724,7.830432
1,A,45,9.724,7.781816
1,A,46,9.724,7.830432
1,A,47,9.724,7.831068
1,A,48,9.724,7.781816
1,A,49,9.724,7.830432
1,A,50,9.724,7.831068
1,A,51,9.724,7.829796
1,A,52,9.724,7.782448
1,A,53,9.724,7.829796
1,A,54,9.724,7.831704
1,A,55,9.724,7.781184
2,B,0,57.855,19.444468
2,B,1,29.464,12.953304
2,B,2,29.464,10.90008
2,B,3,21.617,10.4256
2,B,4,20.161,9.851444
2,B,5,20.161,9.851444
2,B,6,20.161,9.90648
2,B,7,20.161,9.90648
2,B,8,20.161,9.851444
2,B,9,20.161,9.90648
2,B,10,20.161,9.90648
2,B,11,20.161,9.90648
2,B,12,20.161,9.90648
2,B,13,20.161,9.90648
2,B,14,20.161,9.851444
2,B,15,20.161,9.90648
2,B,16,20.161,9.90648
2,B,17,20.161,9.90648
2,B,18,20.161,9.851444
2,B,19,20.161,9.90648
2,B,20,20.161,9.90648
2,B,21,20.161,9.90648
2,B,22,20.161,9.90648
2,B,23,20.161,9.90648
2,B,24,20.161,9.90648
2,B,25,20.161,9.90648
2,B,26,20.161,9.90648
2,B,27,20.161,9.90648
2,B,28,20.161,9.90648
2,B,29,20.161,9.90648
2,B,30,20.161,9.90648
2,B,31,20.161,9.851444
2,B,32,20.161,9.90648
2,B,33,20.161,9.90648
2,B,34,20.161,9.90648
2,B,35,20.161,9.90648
2,B,36,20.161,9.90648
2,B,37,20.161,9.90648
2,B,38,20.161,9.90648
2,B,39,20.161,9.90648
2,B,40,20.161,9.90648
2,B,41,20.161,9.90648
2,B,42,20.161,9.90648
2,B,43,20.161,9.90648
2,B,44,20.161,9.90648
2,B,45,20.161,9.90648
2,B,46,20.161,9.90648
2,B,47,20.161,9.90648
2,B,48,20.161,9.90648
2,B,49,20.161,9.90648
2,B,50,20.161,9.851444
2,B,51,20.161,9.90648
2,B,52,20.161,9.90648
2,B,53,20.161,9.90648
2,B,54,20.161,9.90648
2,B,55,20.161,9.90648
3,B,0,55.566,18.5184
3,B,1,32.708,13.15146
3,B,2,86.816,25.0242
3,B,3,71.523,23.33304
3,B,4,71.523,20.77704
3,B,5,46.482,18.96408
3,B,6,28.135,12.58272
3,B,7,22.084,10.72368
3,B,8,22.084,9.90648
3,B,9,20.798,9.90648
3,B,10,20.798,9.90648
3,B,11,20.798,9.90648
3,B,12,20.798,9.90648
3,B,13,20.798,9.90648
3,B,14,20.798,9.90648
3,B,15,20.798,9.851444
3,B,16,20.798,9.90648
3,B,17,20.798,9.90648
3,B,18,20.798,9.851444
3,B,19,20.798,9.90648
3,B,20,20.798,9.90648
3,B,21,20.798,9.90648
3,B,22,20.798,9.90648
3,B,23,20.798,9.90648
3,B,24,20.798,9.90648
3,B,25,20.798,9.851444
3,B,26,20.798,9.90648
3,B,27,20.798,9.851444
3,B,28,20.798,9.90648
3,B,29,20.798,9.90648
3,B,30,20.798,9.90648
3,B,31,20.798,9.90648
3,B,32,20.798,9.90648
3,B,33,20.798,9.90648
3,B,34,20.798,9.90648
