run,case,cache,metric,n_windows,mean,min_window,median_window,p95_window,max_window
1,A,0,server_fps,56,89.97321428571429,89.0,90.0,90.0,90.5
1,A,0,server_encode_ms,56,4.373214285714286,4.3,4.3,4.6,4.8
1,A,0,codec_wire_mbps,56,83.55884435714286,82.654656,83.58336,83.5884,84.050608
1,A,0,render_fps,55,89.43636363636364,89.3,89.3,89.8,89.8
1,A,0,fresh_fps,55,87.7676846114779,43.402793296089385,88.80111731843574,89.7,89.8
1,A,0,decode_ms,55,0.5963636363636363,0.4,0.6,0.6,0.6
1,A,0,derived_software_delay_ms,55,46.95818181818182,43.5,46.2,48.5,78.10000000000001
1,A,0,wire_ms,55,10.523636363636363,8.1,10.6,10.7,11.2
2,B,1,server_fps,56,89.97321428571429,89.5,90.0,90.0,90.5
2,B,1,server_encode_ms,56,3.5875,3.5,3.6,3.7,3.8
2,B,1,codec_wire_mbps,56,74.55418264285714,74.156836,74.57616,74.5812,74.985404
2,B,1,render_fps,55,89.45272727272727,88.9,89.3,89.8,90.1
2,B,1,fresh_fps,55,88.72704774685997,87.30446927374301,88.80111731843574,89.8,89.8
2,B,1,decode_ms,55,0.6890909090909091,0.6,0.7,0.7,0.7
2,B,1,derived_software_delay_ms,55,46.06181818181818,43.3,46.3,47.9,48.199999999999996
2,B,1,wire_ms,55,10.645454545454545,10.4,10.7,10.7,10.8
3,B,1,server_fps,56,90.00892857142857,89.5,90.0,90.5,90.5
3,B,1,server_encode_ms,56,3.592857142857143,3.5,3.6,3.7,3.8
3,B,1,codec_wire_mbps,56,74.58405978571429,74.156836,74.57616,74.989748,74.99192
3,B,1,render_fps,55,89.43272727272728,89.2,89.3,89.8,89.9
3,B,1,fresh_fps,55,86.24071880819366,58.86888888888889,88.3022346368715,89.20166666666667,89.7
3,B,1,decode_ms,55,0.6818181818181818,0.5,0.7,0.7,0.7
3,B,1,derived_software_delay_ms,55,45.96545454545454,39.5,45.3,47.699999999999996,82.3
3,B,1,wire_ms,55,10.116363636363635,3.3,10.6,10.7,10.7
4,A,0,server_fps,56,89.90178571428571,89.0,90.0,90.5,91.0
4,A,0,server_encode_ms,56,4.383928571428571,4.3,4.4,4.6,4.6
4,A,0,codec_wire_mbps,56,83.49249414285714,82.653232,83.58192,84.050608,84.509152
4,A,0,render_fps,55,89.4290909090909,88.9,89.3,89.8,90.1
4,A,0,fresh_fps,55,87.48895192956563,57.30726256983241,87.80335195530725,89.30111111111111,89.8
4,A,0,decode_ms,55,0.5945454545454545,0.3,0.6,0.6,0.6
4,A,0,derived_software_delay_ms,55,45.53090909090909,43.5,45.4,47.3,48.800000000000004
4,A,0,wire_ms,55,10.514545454545454,8.8,10.6,10.7,10.7
