event,reason,before_mbps,after_mbps
1,acute congestion,1000.0,800.0
2,acute congestion,800.0,640.0
3,acute congestion,640.0,512.0
4,acute congestion,512.0,409.6
5,acute congestion,409.6,327.7
6,acute congestion,327.7,262.1
7,"link healthy again, rebounding",262.1,301.5
8,"link healthy again, rebounding",301.5,327.7
9,spare capacity,327.7,347.7
10,spare capacity,347.7,367.7
11,spare capacity,367.7,387.7
12,spare capacity,387.7,407.7
13,spare capacity,407.7,427.7
14,spare capacity,427.7,447.7
15,spare capacity,447.7,467.7
16,radio degrading,467.7,420.9
17,spare capacity,420.9,440.9
18,spare capacity,440.9,460.9
19,spare capacity,460.9,480.9
20,spare capacity,480.9,500.9
21,spare capacity,500.9,520.9
22,spare capacity,520.9,540.9
