fixture,format,level,raw_bytes,compressed_bytes,saving_pct,encode_median_ms,encode_p95_ms,decode_median_ms,decode_p95_ms
forest,rgb565,1,310096,50423,83.740,0.182,0.282,0.059,0.079
forest,rgb565,3,310096,48478,84.367,0.175,0.231,0.063,0.110
forest,rgb565,6,310096,46477,85.012,0.665,0.705,0.057,0.076
forest,rgb565,9,310096,46051,85.149,1.016,1.316,0.053,0.064
dark,rgb565,1,310096,67899,78.104,0.243,0.271,0.075,0.100
dark,rgb565,3,310096,61266,80.243,0.262,0.337,0.071,0.098
dark,rgb565,6,310096,59291,80.880,0.803,0.866,0.068,0.085
dark,rgb565,9,310096,58828,81.029,1.131,1.368,0.064,0.079
crowd,rgb565,1,297856,89158,70.067,0.220,0.265,0.068,0.084
crowd,rgb565,3,297856,85865,71.172,0.256,0.301,0.071,0.091
crowd,rgb565,6,297856,84532,71.620,0.736,0.757,0.068,0.084
crowd,rgb565,9,297856,84283,71.703,0.918,0.997,0.067,0.084
forest,rgb888,1,522256,72580,86.103,0.325,0.352,0.097,0.133
forest,rgb888,3,522256,70834,86.437,0.369,0.412,0.111,0.145
forest,rgb888,6,522256,66779,87.213,1.256,1.315,0.108,0.187
forest,rgb888,9,522256,66304,87.304,1.930,2.018,0.098,0.128
dark,rgb888,1,522256,103926,80.101,0.366,0.394,0.101,0.134
dark,rgb888,3,522256,97117,81.404,0.544,0.788,0.126,0.165
dark,rgb888,6,522256,93720,82.055,1.364,1.839,0.120,0.155
dark,rgb888,9,522256,93202,82.154,1.789,1.806,0.117,0.168
crowd,rgb888,1,510016,130652,74.383,0.327,0.380,0.105,0.132
crowd,rgb888,3,510016,128938,74.719,0.513,0.819,0.116,0.162
crowd,rgb888,6,510016,126611,75.175,1.197,1.291,0.113,0.164
crowd,rgb888,9,510016,126232,75.249,1.411,1.483,0.113,0.147
