kind,frame,frame_mod_180,hold_ms
fallback,1141,61,22.282
detail,1170,90,356.442
fallback,1305,45,22.28
detail,1305,45,33.414
fallback,1322,62,22.276
detail,1350,90,345.304
fallback,1501,61,22.283
detail,1530,90,334.166
fallback,1682,62,22.276
detail,1710,90,345.304
fallback,1861,61,22.27
detail,1890,90,345.297
fallback,2042,62,22.278
detail,2070,90,345.301
fallback,2105,125,22.279
detail,2105,125,33.412
fallback,2221,61,22.268
detail,2250,90,345.298
fallback,2402,62,22.272
detail,2430,90,345.297
fallback,2582,62,22.27
detail,2611,91,345.294
fallback,2705,5,22.283
detail,2705,5,33.419
fallback,2762,62,22.276
detail,2790,90,345.276
fallback,2837,137,22.277
detail,2838,138,33.416
fallback,2905,25,22.279
detail,2905,25,33.413
fallback,2942,62,22.285
detail,2970,90,345.307
fallback,3122,62,22.276
detail,3150,90,345.301
fallback,3301,61,22.278
detail,3330,90,345.309
fallback,3481,61,22.282
detail,3510,90,345.307
fallback,3581,161,22.285
detail,3582,162,33.414
fallback,3619,19,22.27
detail,3619,19,33.408
fallback,3661,61,22.279
detail,3690,90,345.305
fallback,3841,61,22.265
detail,3870,90,345.297
fallback,4022,62,22.282
detail,4050,90,345.304
fallback,4201,61,22.277
detail,4230,90,356.439
fallback,4382,62,22.277
detail,4410,90,345.296
fallback,4562,62,22.27
detail,4590,90,345.298
