seconds,budget_mbps,equivalent_capacity_mbps,lost_frames,queue_ms
0.000,1000.000000,1000,0,11.1111
0.100,1000.000000,1000,0,11.1114
0.200,1000.000000,1000,0,11.1116
0.300,1000.000000,1000,0,11.1118
0.400,1000.000000,1000,0,11.1120
0.500,1000.000000,1000,0,11.1123
0.600,175.000000,1000,0,1.9444
0.700,175.000000,1000,0,1.9444
0.800,175.000000,1000,0,1.9444
0.900,175.000000,1000,0,1.9444
1.000,175.000000,1000,0,1.9444
1.100,175.000000,1000,0,1.9444
1.200,175.000000,1000,0,1.9444
1.300,175.000000,1000,0,1.9444
1.400,175.000000,1000,0,1.9444
1.500,175.000000,1000,0,1.9444
1.600,175.000000,1000,0,1.9444
1.700,175.000000,1000,0,1.9444
1.800,175.000000,1000,0,1.9444
1.900,175.000000,1000,0,1.9444
2.000,175.000000,1000,0,1.9444
2.100,175.000000,1000,0,1.9444
2.200,175.000000,1000,0,1.9444
2.300,175.000000,1000,0,1.9444
2.400,175.000000,1000,0,1.9444
2.500,175.000000,1000,0,1.9444
2.600,175.000000,1000,0,1.9444
2.700,31.901101,1000,0,0.3545
2.800,31.901101,1000,0,0.3545
2.900,31.901101,1000,0,0.3545
3.000,31.901101,1000,0,0.3545
3.100,31.901101,1000,0,0.3545
3.200,31.901101,1000,0,0.3545
3.300,31.901101,1000,0,0.3545
3.400,31.901101,1000,0,0.3545
3.500,31.901101,1000,0,0.3545
3.600,31.901101,1000,0,0.3545
3.700,31.901101,1000,0,0.3545
3.800,31.901101,1000,0,0.3545
3.900,31.901101,1000,0,0.3545
4.000,31.901101,1000,0,0.3545
4.100,31.901101,1000,0,0.3545
4.200,31.901101,1000,0,0.3545
4.300,31.901101,1000,0,0.3545
4.400,31.901101,1000,0,0.3545
4.500,31.901101,1000,0,0.3545
4.600,31.901101,1000,0,0.3545
4.700,10.000000,1000,0,0.1111
4.800,10.000000,1000,0,0.1111
4.900,10.000000,1000,0,0.1111
5.000,10.000000,1000,0,0.1111
5.100,10.000000,1000,0,0.1111
5.200,10.000000,1000,0,0.1111
5.300,10.000000,1000,0,0.1111
5.400,10.000000,1000,0,0.1111
5.500,10.000000,1000,0,0.1111
5.600,10.000000,1000,0,0.1111
5.700,10.000000,1000,0,0.1111
5.800,10.000000,1000,0,0.1111
5.900,10.000000,1000,0,0.1111
6.000,10.000000,1000,0,0.1111
6.100,10.000000,1000,0,0.1111
6.200,10.000000,1000,0,0.1111
6.300,10.000000,1000,0,0.1111
6.400,10.000000,1000,0,0.1111
6.500,10.000000,1000,0,0.1111
6.600,10.000000,1000,0,0.1111
6.700,10.000000,1000,0,0.1111
6.800,10.000000,1000,0,0.1111
6.900,10.000000,1000,0,0.1111
7.000,10.000000,1000,0,0.1111
7.100,10.000000,1000,0,0.1111
7.200,10.000000,1000,0,0.1111
7.300,10.000000,1000,0,0.1111
7.400,10.000000,1000,0,0.1111
7.500,10.000000,1000,0,0.1111
7.600,10.000000,1000,0,0.1111
7.700,10.000000,1000,0,0.1111
7.800,10.000000,1000,0,0.1111
7.900,10.000000,1000,0,0.1111
8.000,10.000000,1000,0,0.1111
8.100,10.000000,1000,0,0.1111
8.200,10.000000,1000,0,0.1111
8.300,10.000000,1000,0,0.1111
8.400,10.000000,1000,0,0.1111
8.500,10.000000,1000,0,0.1111
8.600,10.000000,1000,0,0.1111
