capture_id,classification,sha256
900,stable_position_0,7459f0f1963b60c872266134efed66e086263d3949f8af924966c8be6e1d1389
901,stable_position_0,7459f0f1963b60c872266134efed66e086263d3949f8af924966c8be6e1d1389
902,stable_position_0,7459f0f1963b60c872266134efed66e086263d3949f8af924966c8be6e1d1389
903,transition_0_to_1,c8b48edfaa03b64909b952620b5c93e17118e1a30851cd276c8a43655e69e4f4
904,stable_position_1,48cf44519f9111aca582d83922e5f3651ba63f027199722316f02f566660718b
905,stable_position_1,48cf44519f9111aca582d83922e5f3651ba63f027199722316f02f566660718b
906,stable_position_1,48cf44519f9111aca582d83922e5f3651ba63f027199722316f02f566660718b
907,transition_1_to_0,8810f101f560dc6c0390e05198921fb08b66ed3cf3e4b547dbee9bff1353dc2a
908,stable_position_0,7459f0f1963b60c872266134efed66e086263d3949f8af924966c8be6e1d1389
909,stable_position_0,7459f0f1963b60c872266134efed66e086263d3949f8af924966c8be6e1d1389
910,stable_position_0,7459f0f1963b60c872266134efed66e086263d3949f8af924966c8be6e1d1389
911,transition_0_to_1,c8b48edfaa03b64909b952620b5c93e17118e1a30851cd276c8a43655e69e4f4
912,stable_position_1,48cf44519f9111aca582d83922e5f3651ba63f027199722316f02f566660718b
913,stable_position_1,48cf44519f9111aca582d83922e5f3651ba63f027199722316f02f566660718b
914,stable_position_1,48cf44519f9111aca582d83922e5f3651ba63f027199722316f02f566660718b
915,transition_1_to_0,8810f101f560dc6c0390e05198921fb08b66ed3cf3e4b547dbee9bff1353dc2a
916,stable_position_0,7459f0f1963b60c872266134efed66e086263d3949f8af924966c8be6e1d1389
917,stable_position_0,7459f0f1963b60c872266134efed66e086263d3949f8af924966c8be6e1d1389
918,stable_position_0,7459f0f1963b60c872266134efed66e086263d3949f8af924966c8be6e1d1389
919,transition_0_to_1,c8b48edfaa03b64909b952620b5c93e17118e1a30851cd276c8a43655e69e4f4
920,stable_position_1,48cf44519f9111aca582d83922e5f3651ba63f027199722316f02f566660718b
921,stable_position_1,48cf44519f9111aca582d83922e5f3651ba63f027199722316f02f566660718b
922,stable_position_1,48cf44519f9111aca582d83922e5f3651ba63f027199722316f02f566660718b
923,transition_1_to_0,8810f101f560dc6c0390e05198921fb08b66ed3cf3e4b547dbee9bff1353dc2a
