source,codec,phase,raw_bytes,baseline_bytes,checker_bytes,saved_bytes,baseline_p50_ms,checker_p50_ms
dark-gpu-shift0.nxdf,lz4,0,523728,184480,97480,87000,0.3603,0.1645
dark-gpu-shift0.nxdf,zstd,0,523728,99237,68631,30606,0.6196,0.3454
dark-gpu-shift0.nxdf,lz4,1,523728,184480,96755,87725,0.3556,0.1619
dark-gpu-shift0.nxdf,zstd,1,523728,99237,68703,30534,0.6093,0.3384
dark-gpu-shift8.nxdf,lz4,0,523728,181382,95552,85830,0.3482,0.1585
dark-gpu-shift8.nxdf,zstd,0,523728,99153,68693,30460,0.5979,0.3312
dark-gpu-shift8.nxdf,lz4,1,523728,181382,95219,86163,0.3469,0.1580
dark-gpu-shift8.nxdf,zstd,1,523728,99153,68748,30405,0.6036,0.3364
forest-gpu-shift0.nxdf,lz4,0,523728,123119,73623,49496,0.2344,0.1285
forest-gpu-shift0.nxdf,zstd,0,523728,62266,46357,15909,0.4077,0.2642
forest-gpu-shift0.nxdf,lz4,1,523728,123119,74052,49067,0.2324,0.1285
forest-gpu-shift0.nxdf,zstd,1,523728,62266,46534,15732,0.4081,0.2664
forest-gpu-shift8.nxdf,lz4,0,523728,121786,71713,50073,0.2270,0.1233
forest-gpu-shift8.nxdf,zstd,0,523728,61453,45888,15565,0.3956,0.2648
forest-gpu-shift8.nxdf,lz4,1,523728,121786,72151,49635,0.2278,0.1245
forest-gpu-shift8.nxdf,zstd,1,523728,61453,45992,15461,0.4031,0.2667
