round,position,mode,elapsed_ms
16,0,uncached,0.553125
16,1,cached,0.532917
16,2,baseline,0.502187
17,0,uncached,0.553802
17,1,baseline,0.506146
17,2,cached,0.513802
18,0,cached,0.531198
18,1,uncached,0.626562
18,2,baseline,0.490469
19,0,uncached,0.523907
19,1,cached,0.533333
19,2,baseline,0.500677
20,0,baseline,0.479947
20,1,cached,0.53349
20,2,uncached,0.535781
21,0,uncached,0.535677
21,1,baseline,0.480521
21,2,cached,0.509635
22,0,cached,0.510052
22,1,baseline,0.480209
22,2,uncached,0.533073
23,0,cached,0.509792
23,1,baseline,0.508906
23,2,uncached,0.549532
24,0,uncached,0.530104
24,1,baseline,0.479792
24,2,cached,0.50875
25,0,cached,0.51052
25,1,baseline,0.494531
25,2,uncached,0.543229
26,0,uncached,0.53125
26,1,baseline,0.490365
26,2,cached,0.509531
27,0,cached,0.514635
27,1,uncached,0.527396
27,2,baseline,0.494114
28,0,uncached,0.530729
28,1,baseline,0.486718
28,2,cached,0.512136
29,0,baseline,0.502188
29,1,cached,0.498958
29,2,uncached,0.52849
30,0,baseline,0.479167
30,1,cached,0.51276
30,2,uncached,0.527969
31,0,cached,0.508594
31,1,uncached,0.530365
31,2,baseline,0.480261
32,0,uncached,0.532448
32,1,baseline,0.480886
32,2,cached,0.512083
33,0,baseline,0.468385
33,1,uncached,0.531302
33,2,cached,0.514271
34,0,uncached,0.527396
34,1,baseline,0.479323
34,2,cached,0.542969
35,0,uncached,0.560365
35,1,baseline,0.482969
35,2,cached,0.514219
36,0,baseline,0.48052
36,1,cached,0.50927
36,2,uncached,0.527448
37,0,uncached,0.548021
37,1,baseline,0.485313
37,2,cached,0.521615
38,0,uncached,0.554011
38,1,cached,0.533073
38,2,baseline,0.505261
39,0,cached,0.519427
39,1,uncached,0.547188
39,2,baseline,0.498437
40,0,cached,0.550052
40,1,baseline,0.482031
40,2,uncached,0.533177
41,0,uncached,0.53224
41,1,cached,0.527708
41,2,baseline,0.469635
42,0,baseline,0.4825
42,1,cached,0.509896
42,2,uncached,0.546041
43,0,uncached,0.527135
43,1,baseline,0.48375
43,2,cached,0.5075
44,0,uncached,0.533229
44,1,baseline,0.480104
44,2,cached,0.508229
45,0,baseline,0.479218
45,1,uncached,0.537031
45,2,cached,0.533021
46,0,baseline,0.562344
46,1,uncached,0.5375
46,2,cached,0.512292
47,0,cached,0.511927
47,1,uncached,0.528178
47,2,baseline,0.479167
48,0,cached,0.510104
48,1,uncached,0.546771
48,2,baseline,0.478386
49,0,uncached,0.533959
49,1,baseline,0.478646
49,2,cached,0.506979
50,0,cached,0.512969
50,1,baseline,0.496614
50,2,uncached,0.531562
51,0,baseline,0.513021
51,1,cached,0.53651
51,2,uncached,0.548698
52,0,cached,0.501042
52,1,baseline,0.479375
52,2,uncached,0.535677
53,0,uncached,0.5325
53,1,baseline,0.475677
53,2,cached,0.508802
54,0,uncached,0.54573
54,1,cached,0.533698
54,2,baseline,0.500573
55,0,cached,0.514948
55,1,uncached,0.553282
55,2,baseline,0.480104
56,0,baseline,0.479947
56,1,uncached,0.529584
56,2,cached,0.531146
57,0,baseline,0.499739
57,1,cached,0.519739
57,2,uncached,0.540105
58,0,uncached,0.531407
58,1,baseline,0.477969
58,2,cached,0.527968
59,0,uncached,0.526407
59,1,baseline,0.477396
59,2,cached,0.530573
60,0,cached,0.511094
60,1,baseline,0.478698
60,2,uncached,0.528281
61,0,baseline,0.492396
61,1,uncached,0.518698
61,2,cached,0.508542
62,0,baseline,0.514011
62,1,cached,0.528906
62,2,uncached,0.529271
63,0,uncached,0.52776
63,1,baseline,0.481875
63,2,cached,0.513333
64,0,uncached,0.533594
64,1,baseline,0.46776
64,2,cached,0.51224
65,0,uncached,0.52375
65,1,cached,0.511145
65,2,baseline,0.498958
66,0,baseline,0.478854
66,1,uncached,0.529115
66,2,cached,0.515729
67,0,uncached,0.532032
67,1,cached,0.514011
67,2,baseline,0.520365
