round,position,mode,elapsed_ms
16,0,uncached,0.599636
16,1,cached,0.57849
16,2,baseline,0.911146
17,0,uncached,0.560104
17,1,baseline,0.435886
17,2,cached,0.497656
18,0,cached,0.495678
18,1,uncached,0.501719
18,2,baseline,0.451094
19,0,uncached,0.502552
19,1,cached,0.490312
19,2,baseline,0.446615
20,0,baseline,0.43776
20,1,cached,0.510781
20,2,uncached,0.509479
21,0,uncached,0.510886
21,1,baseline,0.456927
21,2,cached,0.48875
22,0,cached,0.4875
22,1,baseline,0.462187
22,2,uncached,0.537031
23,0,cached,0.47625
23,1,baseline,0.43948
23,2,uncached,0.508125
24,0,uncached,0.507396
24,1,baseline,0.458281
24,2,cached,0.488646
25,0,cached,0.491459
25,1,baseline,0.460104
25,2,uncached,0.527917
26,0,uncached,0.526458
26,1,baseline,0.436667
26,2,cached,0.487969
27,0,cached,0.488021
27,1,uncached,0.526302
27,2,baseline,0.460156
28,0,uncached,0.533021
28,1,baseline,0.459115
28,2,cached,0.506666
29,0,baseline,0.456667
29,1,cached,0.50875
29,2,uncached,0.516718
30,0,baseline,0.457031
30,1,cached,0.508385
30,2,uncached,0.527448
31,0,cached,0.495104
31,1,uncached,0.52698
31,2,baseline,0.446615
32,0,uncached,0.586615
32,1,baseline,0.464792
32,2,cached,0.47698
33,0,baseline,0.468073
33,1,uncached,0.507761
33,2,cached,0.487343
34,0,uncached,0.506042
34,1,baseline,0.456406
34,2,cached,0.486614
35,0,uncached,0.504843
35,1,baseline,0.45823
35,2,cached,0.505781
36,0,baseline,0.42526
36,1,cached,0.486771
36,2,uncached,0.493802
37,0,uncached,0.506719
37,1,baseline,0.425625
37,2,cached,0.487187
38,0,uncached,0.495678
38,1,cached,0.476146
38,2,baseline,0.494896
39,0,cached,0.51125
39,1,uncached,0.521355
39,2,baseline,0.438333
40,0,cached,0.487604
40,1,baseline,0.44974
40,2,uncached,0.507343
41,0,uncached,0.50125
41,1,cached,0.493906
41,2,baseline,0.44125
42,0,baseline,0.455573
42,1,cached,0.487656
42,2,uncached,0.511771
43,0,uncached,0.514843
43,1,baseline,0.453854
43,2,cached,0.492917
44,0,uncached,0.514166
44,1,baseline,0.436823
44,2,cached,0.500469
45,0,baseline,0.439531
45,1,uncached,0.506563
45,2,cached,0.475105
46,0,baseline,0.436719
46,1,uncached,0.507188
46,2,cached,0.486041
47,0,cached,0.485989
47,1,uncached,0.505834
47,2,baseline,0.436927
48,0,cached,0.473907
48,1,uncached,0.506459
48,2,baseline,0.437344
49,0,uncached,0.505886
49,1,baseline,0.440625
49,2,cached,0.489114
50,0,cached,0.485261
50,1,baseline,0.436771
50,2,uncached,0.532917
51,0,baseline,0.459479
51,1,cached,0.47625
51,2,uncached,0.524532
52,0,cached,0.485937
52,1,baseline,0.436563
52,2,uncached,0.506145
53,0,uncached,0.506771
53,1,baseline,0.456667
53,2,cached,0.491093
54,0,uncached,0.506146
54,1,cached,0.506511
54,2,baseline,0.437604
55,0,cached,0.487239
55,1,uncached,0.507187
55,2,baseline,0.45625
56,0,baseline,0.437135
56,1,uncached,0.50875
56,2,cached,0.495521
57,0,baseline,0.46875
57,1,cached,0.507968
57,2,uncached,0.508698
58,0,uncached,0.529688
58,1,baseline,0.437291
58,2,cached,0.4875
59,0,uncached,0.505729
59,1,baseline,0.456927
59,2,cached,0.487917
60,0,cached,0.486145
60,1,baseline,0.426198
60,2,uncached,0.506927
61,0,baseline,0.437396
61,1,uncached,0.507396
61,2,cached,0.579167
62,0,baseline,0.441667
62,1,cached,0.515052
62,2,uncached,0.528281
63,0,uncached,0.526979
63,1,baseline,0.445312
63,2,cached,0.488021
64,0,uncached,0.505312
64,1,baseline,0.436459
64,2,cached,0.47625
65,0,uncached,0.526042
65,1,cached,0.507292
65,2,baseline,0.437292
66,0,baseline,0.439739
66,1,uncached,0.50875
66,2,cached,0.50599
67,0,uncached,0.507916
67,1,cached,0.487031
67,2,baseline,0.443386
68,0,baseline,0.443438
68,1,uncached,0.52599
68,2,cached,0.505729
69,0,uncached,0.503073
69,1,cached,0.485729
69,2,baseline,0.431562
70,0,uncached,0.505678
70,1,baseline,0.437916
70,2,cached,0.485468
71,0,baseline,0.437448
71,1,uncached,0.525052
71,2,cached,0.485573
72,0,cached,0.484792
72,1,baseline,0.45599
72,2,uncached,0.505938
73,0,uncached,0.504219
73,1,cached,0.483542
73,2,baseline,0.455052
74,0,baseline,0.488802
74,1,uncached,0.533646
74,2,cached,0.487396
75,0,cached,0.491979
75,1,uncached,0.504322
75,2,baseline,0.436302
76,0,baseline,0.454792
76,1,uncached,0.508021
76,2,cached,0.486042
77,0,uncached,0.510573
77,1,cached,0.507448
77,2,baseline,0.436562
78,0,uncached,0.505834
78,1,cached,0.485677
78,2,baseline,0.438177
79,0,cached,0.485729
79,1,baseline,0.425781
