round,position,mode,elapsed_ms
16,0,uncached,0.768385
16,1,cached,0.73599
16,2,baseline,0.440208
17,0,uncached,0.792916
17,1,baseline,0.458386
17,2,cached,0.766093
18,0,cached,0.766041
18,1,uncached,0.793646
18,2,baseline,0.459584
19,0,uncached,0.783802
19,1,cached,0.745104
19,2,baseline,0.438437
20,0,baseline,0.434948
20,1,cached,0.770468
20,2,uncached,0.764062
21,0,uncached,0.763438
21,1,baseline,0.505781
21,2,cached,0.746302
22,0,cached,0.745052
22,1,baseline,0.455104
22,2,uncached,0.762552
23,0,cached,0.743542
23,1,baseline,0.436302
23,2,uncached,0.783281
24,0,uncached,0.766198
24,1,baseline,0.436146
24,2,cached,0.744271
25,0,cached,0.732656
25,1,baseline,0.435573
25,2,uncached,0.796979
26,0,uncached,0.786667
26,1,baseline,0.425573
26,2,cached,0.766979
27,0,cached,0.763802
27,1,uncached,0.761563
27,2,baseline,0.436094
28,0,uncached,0.762604
28,1,baseline,0.436406
28,2,cached,0.745053
29,0,baseline,0.437083
29,1,cached,0.744479
29,2,uncached,0.763802
30,0,baseline,0.528177
30,1,cached,0.771614
30,2,uncached,0.79
31,0,cached,0.745886
31,1,uncached,0.76599
31,2,baseline,0.459844
32,0,uncached,0.767865
32,1,baseline,0.435677
32,2,cached,0.755625
33,0,baseline,0.435365
33,1,uncached,0.762916
33,2,cached,0.764584
34,0,uncached,0.762864
34,1,baseline,0.435573
34,2,cached,0.751615
35,0,uncached,0.784531
35,1,baseline,0.439323
35,2,cached,0.750261
36,0,baseline,0.45625
36,1,cached,0.76375
36,2,uncached,0.782656
37,0,uncached,0.76198
37,1,baseline,0.435625
37,2,cached,0.764479
38,0,uncached,0.762656
38,1,cached,0.734947
38,2,baseline,0.436042
39,0,cached,0.782292
39,1,uncached,0.774479
39,2,baseline,0.435573
40,0,cached,0.744427
40,1,baseline,0.455625
40,2,uncached,0.781979
41,0,uncached,0.751198
41,1,cached,0.763073
41,2,baseline,0.455625
42,0,baseline,0.433906
42,1,cached,0.733958
42,2,uncached,0.762136
43,0,uncached,0.762239
43,1,baseline,0.435469
43,2,cached,0.773646
44,0,uncached,0.751093
44,1,baseline,0.435469
44,2,cached,0.743906
45,0,baseline,0.456198
45,1,uncached,0.783125
45,2,cached,0.745365
46,0,baseline,0.457083
46,1,uncached,0.782552
46,2,cached,0.742708
47,0,cached,0.74323
47,1,uncached,0.786354
47,2,baseline,0.434948
48,0,cached,0.786042
48,1,uncached,0.795625
48,2,baseline,0.436927
49,0,uncached,0.761458
49,1,baseline,0.423073
49,2,cached,0.763178
50,0,cached,0.744167
50,1,baseline,0.434896
50,2,uncached,0.758334
51,0,baseline,0.435313
51,1,cached,0.744635
51,2,uncached,0.76875
52,0,cached,0.741927
52,1,baseline,0.504011
52,2,uncached,0.805208
53,0,uncached,0.783229
53,1,baseline,0.454583
53,2,cached,0.765781
54,0,uncached,0.782761
54,1,cached,0.769687
54,2,baseline,0.456093
55,0,cached,0.762396
55,1,uncached,0.781562
55,2,baseline,0.45849
56,0,baseline,0.456302
56,1,uncached,0.781823
56,2,cached,0.789428
57,0,baseline,0.450157
57,1,cached,0.766302
57,2,uncached,0.777292
58,0,uncached,0.777343
58,1,baseline,0.434635
58,2,cached,0.741406
59,0,uncached,0.762916
59,1,baseline,0.448907
59,2,cached,0.742969
60,0,cached,0.742916
60,1,baseline,0.422396
60,2,uncached,0.762031
61,0,baseline,0.465573
61,1,uncached,0.772239
61,2,cached,0.744895
62,0,baseline,0.434843
62,1,cached,0.745261
62,2,uncached,0.749687
63,0,uncached,0.775782
63,1,baseline,0.434323
63,2,cached,0.731458
64,0,uncached,0.775729
64,1,baseline,0.43401
64,2,cached,0.743125
65,0,uncached,0.759688
65,1,cached,0.767239
65,2,baseline,0.459219
66,0,baseline,0.457292
66,1,uncached,0.764688
66,2,cached,0.763906
67,0,uncached,0.760886
67,1,cached,0.762604
67,2,baseline,0.435573
68,0,baseline,0.435573
68,1,uncached,0.76276
68,2,cached,0.763906
69,0,uncached,0.761145
69,1,cached,0.762969
69,2,baseline,0.423646
70,0,uncached,0.808437
70,1,baseline,0.438021
70,2,cached,0.750625
71,0,baseline,0.424948
71,1,uncached,0.7625
71,2,cached,0.743125
72,0,cached,0.745677
72,1,baseline,0.435521
72,2,uncached,0.763438
73,0,uncached,0.761666
73,1,cached,0.763854
73,2,baseline,0.435209
74,0,baseline,0.439739
74,1,uncached,0.822344
74,2,cached,0.77875
75,0,cached,0.765312
75,1,uncached,0.761354
75,2,baseline,0.424479
76,0,baseline,0.436198
76,1,uncached,0.753073
76,2,cached,0.764375
77,0,uncached,0.769948
77,1,cached,0.744584
77,2,baseline,0.455469
78,0,uncached,0.761771
78,1,cached,0.743437
78,2,baseline,0.447135
79,0,cached,0.747083
79,1,baseline,0.435312
79,2,uncached,0.762448
80,0,baseline,0.42276
80,1,cached,0.746771
80,2,uncached,0.78125
81,0,cached,0.76276
81,1,uncached,0.76427
81,2,baseline,0.434687
82,0,uncached,0.749844
82,1,cached,0.76677
82,2,baseline,0.45401
83,0,uncached,0.761927
83,1,cached,0.756562
83,2,baseline,0.454323
84,0,cached,0.743177
84,1,baseline,0.437344
84,2,uncached,0.764219
85,0,uncached,0.761563
85,1,baseline,0.42375
85,2,cached,0.763386
86,0,baseline,0.457813
86,1,uncached,0.762708
86,2,cached,0.762865
87,0,baseline,0.455052
87,1,cached,0.74474
87,2,uncached,0.807135
88,0,baseline,0.438698
88,1,uncached,0.7825
88,2,cached,0.756406
89,0,baseline,0.454947
89,1,uncached,0.761823
89,2,cached,0.763073
90,0,uncached,0.779636
90,1,cached,0.742709
90,2,baseline,0.435521
91,0,uncached,0.761511
91,1,cached,0.747812
91,2,baseline,0.435365
92,0,baseline,0.46099
92,1,cached,0.768177
92,2,uncached,0.786511
93,0,baseline,0.435052
93,1,uncached,0.762709
93,2,cached,0.744011
94,0,cached,0.743386
94,1,uncached,0.783645
94,2,baseline,0.424375
95,0,baseline,0.435833
95,1,uncached,0.751094
95,2,cached,0.762136
96,0,uncached,0.7625
96,1,baseline,0.51401
96,2,cached,0.755677
97,0,baseline,0.436927
97,1,uncached,0.774479
97,2,cached,0.743646
98,0,cached,0.754584
98,1,uncached,0.764792
98,2,baseline,0.436771
99,0,baseline,0.424167
99,1,uncached,0.788021
99,2,cached,0.732448
100,0,uncached,0.761875
100,1,baseline,0.445104
100,2,cached,0.752552
101,0,uncached,0.791928
101,1,baseline,0.457344
101,2,cached,0.764323
102,0,uncached,0.781355
102,1,baseline,0.454115
102,2,cached,0.763125
103,0,cached,0.743541
103,1,uncached,0.760729
103,2,baseline,0.435052
104,0,cached,0.747083
104,1,uncached,0.78349
104,2,baseline,0.435781
105,0,uncached,0.778958
105,1,cached,0.767135
105,2,baseline,0.436302
106,0,baseline,0.434584
106,1,uncached,0.763542
106,2,cached,0.743178
107,0,baseline,0.435208
107,1,uncached,0.762395
107,2,cached,0.742396
108,0,baseline,0.442239
108,1,uncached,0.781406
108,2,cached,0.743073
109,0,cached,0.765678
109,1,baseline,0.434427
109,2,uncached,0.799427
110,0,uncached,0.782656
110,1,cached,0.743854
110,2,baseline,0.456979
111,0,cached,0.751407
111,1,uncached,0.762552
111,2,baseline,0.434688
112,0,uncached,0.762187
112,1,baseline,0.442448
112,2,cached,0.75599
113,0,cached,0.744584
113,1,uncached,0.761198
113,2,baseline,0.434792
114,0,cached,0.768021
114,1,baseline,0.4575
114,2,uncached,0.786146
115,0,uncached,0.764844
115,1,baseline,0.441563
115,2,cached,0.742708
116,0,uncached,0.76151
116,1,cached,0.731823
116,2,baseline,0.434375
117,0,uncached,0.750782
117,1,cached,0.743594
117,2,baseline,0.43526
118,0,cached,0.751563
118,1,uncached,0.839532
118,2,baseline,0.463854
119,0,baseline,0.445312
119,1,uncached,0.770729
119,2,cached,0.732396
120,0,cached,0.744844
120,1,uncached,0.75099
120,2,baseline,0.436562
121,0,uncached,0.751302
121,1,cached,0.743385
121,2,baseline,0.454323
122,0,uncached,0.785104
122,1,baseline,0.435417
122,2,cached,0.768021
123,0,uncached,0.798021
123,1,baseline,0.438385
123,2,cached,0.732344
124,0,cached,0.754479
124,1,uncached,0.765209
124,2,baseline,0.434843
125,0,baseline,0.434271
125,1,cached,0.74448
125,2,uncached,0.765209
126,0,uncached,0.765625
126,1,baseline,0.435625
126,2,cached,0.756406
127,0,cached,0.744792
127,1,uncached,0.782865
127,2,baseline,0.465729
128,0,baseline,0.443125
128,1,cached,0.744166
128,2,uncached,0.780469
129,0,cached,0.746146
129,1,baseline,0.434375
129,2,uncached,0.762292
130,0,cached,0.744427
130,1,baseline,0.433594
130,2,uncached,0.761823
131,0,uncached,0.781093
131,1,cached,0.744323
131,2,baseline,0.436875
132,0,baseline,0.503021
132,1,uncached,0.765
132,2,cached,0.743854
133,0,baseline,0.42375
133,1,cached,0.760208
133,2,uncached,0.763281
134,0,uncached,0.764792
134,1,cached,0.745312
134,2,baseline,0.435052
135,0,uncached,0.75448
135,1,cached,0.741719
135,2,baseline,0.433698
136,0,baseline,0.455313
136,1,uncached,0.820104
136,2,cached,0.775521
137,0,baseline,0.456667
137,1,cached,0.762708
137,2,uncached,0.781302
138,0,baseline,0.434687
138,1,cached,0.743125
138,2,uncached,0.761407
139,0,uncached,0.757813
139,1,baseline,0.423489
139,2,cached,0.743802
140,0,uncached,0.751406
140,1,baseline,0.436562
140,2,cached,0.764062
141,0,baseline,0.459584
141,1,cached,0.73552
141,2,uncached,0.763333
142,0,baseline,0.435052
142,1,cached,0.762656
142,2,uncached,0.76526
143,0,baseline,0.434375
143,1,cached,0.732135
143,2,uncached,0.763541
144,0,baseline,0.441198
144,1,uncached,0.77151
144,2,cached,0.743854
145,0,baseline,0.436094
145,1,cached,0.81026
145,2,uncached,0.786823
146,0,baseline,0.456614
146,1,uncached,0.78151
146,2,cached,0.752031
147,0,cached,0.763489
147,1,baseline,0.456666
147,2,uncached,0.762136
148,0,cached,0.741771
148,1,uncached,0.761667
148,2,baseline,0.435625
149,0,baseline,0.434427
149,1,uncached,0.762083
149,2,cached,0.783907
150,0,baseline,0.457552
150,1,cached,0.743593
150,2,uncached,0.780521
151,0,uncached,0.760833
151,1,baseline,0.442813
151,2,cached,0.744115
152,0,cached,0.745521
152,1,uncached,0.781823
152,2,baseline,0.435417
153,0,cached,0.744844
153,1,uncached,0.765417
153,2,baseline,0.444427
154,0,baseline,0.433906
154,1,uncached,0.814896
154,2,cached,0.771615
155,0,cached,0.738698
155,1,baseline,0.436719
155,2,uncached,0.762032
156,0,baseline,0.424427
156,1,uncached,0.762813
156,2,cached,0.742708
157,0,uncached,0.760573
157,1,baseline,0.423489
157,2,cached,0.74349
158,0,uncached,0.749375
158,1,baseline,0.434584
158,2,cached,0.754739
159,0,uncached,0.783802
159,1,cached,0.763698
159,2,baseline,0.43526
160,0,cached,0.743907
160,1,baseline,0.435469
160,2,uncached,0.761406
161,0,uncached,0.761771
161,1,cached,0.742084
161,2,baseline,0.435157
162,0,uncached,0.762552
162,1,cached,0.734792
162,2,baseline,0.435104
163,0,cached,0.74401
163,1,uncached,0.84
163,2,baseline,0.464062
164,0,baseline,0.436146
164,1,uncached,0.768281
164,2,cached,0.743698
165,0,baseline,0.434583
165,1,cached,0.747709
165,2,uncached,0.761979
166,0,cached,0.742916
166,1,uncached,0.760573
166,2,baseline,0.436355
167,0,uncached,0.762657
167,1,baseline,0.435625
167,2,cached,0.753698
168,0,baseline,0.462396
168,1,cached,0.76974
168,2,uncached,0.761562
169,0,uncached,0.749844
169,1,baseline,0.446458
169,2,cached,0.762656
170,0,uncached,0.761303
170,1,baseline,0.435104
170,2,cached,0.744115
171,0,cached,0.743073
171,1,baseline,0.423646
171,2,uncached,0.762343
172,0,cached,0.743229
172,1,uncached,0.775521
172,2,baseline,0.424583
173,0,cached,0.751042
173,1,uncached,0.761563
173,2,baseline,0.425
