round,position,mode,elapsed_ms
16,0,uncached,0.833855
16,1,cached,0.77073
16,2,baseline,0.47599
17,0,uncached,0.809583
17,1,baseline,0.485834
17,2,cached,0.769583
18,0,cached,0.776041
18,1,uncached,0.793281
18,2,baseline,0.481615
19,0,uncached,0.797083
19,1,cached,0.771771
19,2,baseline,0.479895
20,0,baseline,0.482917
20,1,cached,0.85
20,2,uncached,0.802865
21,0,uncached,0.794011
21,1,baseline,0.587604
21,2,cached,0.768125
22,0,cached,0.768802
22,1,baseline,0.484844
22,2,uncached,0.787239
23,0,cached,0.777657
23,1,baseline,0.485365
23,2,uncached,0.777761
24,0,uncached,0.791511
24,1,baseline,0.46698
24,2,cached,0.789687
25,0,cached,0.772448
25,1,baseline,0.480208
25,2,uncached,0.786563
26,0,uncached,0.792188
26,1,baseline,0.50526
26,2,cached,0.768229
27,0,cached,0.767917
27,1,uncached,0.777552
27,2,baseline,0.480052
28,0,uncached,0.779635
28,1,baseline,0.482864
28,2,cached,0.768437
29,0,baseline,0.539375
29,1,cached,0.779948
29,2,uncached,0.7775
30,0,baseline,0.484739
30,1,cached,0.792343
30,2,uncached,0.787188
31,0,cached,0.773698
31,1,uncached,0.785729
31,2,baseline,0.505521
32,0,uncached,0.778646
32,1,baseline,0.483698
32,2,cached,0.759739
33,0,baseline,0.489948
33,1,uncached,0.816354
33,2,cached,0.777656
34,0,uncached,0.788542
34,1,baseline,0.467396
34,2,cached,0.777343
35,0,uncached,0.787292
35,1,baseline,0.479531
35,2,cached,0.766875
36,0,baseline,0.47823
36,1,cached,0.790521
36,2,uncached,0.792813
37,0,uncached,0.788645
37,1,baseline,0.48125
37,2,cached,0.794271
38,0,uncached,0.786406
38,1,cached,0.769427
38,2,baseline,0.503073
39,0,cached,0.791719
39,1,uncached,0.789167
39,2,baseline,0.482032
40,0,cached,0.761667
40,1,baseline,0.478385
40,2,uncached,0.774687
41,0,uncached,0.809791
41,1,cached,0.767448
41,2,baseline,0.484688
42,0,baseline,0.505468
42,1,cached,0.781406
42,2,uncached,0.789739
43,0,uncached,0.842032
43,1,baseline,0.488281
43,2,cached,0.767917
44,0,uncached,0.789635
44,1,baseline,0.479323
44,2,cached,0.770833
45,0,baseline,0.480781
45,1,uncached,0.799791
45,2,cached,0.790469
46,0,baseline,0.521407
46,1,uncached,0.811927
46,2,cached,0.788698
47,0,cached,0.792187
47,1,uncached,0.811979
47,2,baseline,0.500781
48,0,cached,0.78927
48,1,uncached,0.805313
48,2,baseline,0.504636
49,0,uncached,0.790937
49,1,baseline,0.496562
49,2,cached,0.777032
50,0,cached,0.787032
50,1,baseline,0.480573
50,2,uncached,0.788698
51,0,baseline,0.482552
51,1,cached,0.795572
51,2,uncached,0.785625
52,0,cached,0.770938
52,1,baseline,0.482813
52,2,uncached,0.807605
53,0,uncached,0.77625
53,1,baseline,0.473854
53,2,cached,0.75875
54,0,uncached,0.788698
54,1,cached,0.823177
54,2,baseline,0.480938
55,0,cached,0.770469
55,1,uncached,0.805312
55,2,baseline,0.498125
56,0,baseline,0.471198
56,1,uncached,0.775052
56,2,cached,0.768646
57,0,baseline,0.479427
57,1,cached,0.767969
57,2,uncached,0.787396
58,0,uncached,0.785886
58,1,baseline,0.489583
58,2,cached,0.77651
59,0,uncached,0.79901
59,1,baseline,0.484166
59,2,cached,0.772656
60,0,cached,0.770781
60,1,baseline,0.490417
60,2,uncached,0.776198
61,0,baseline,0.499063
61,1,uncached,0.787032
61,2,cached,0.767761
62,0,baseline,0.481979
62,1,cached,0.767396
62,2,uncached,0.787656
63,0,uncached,0.823541
63,1,baseline,0.498854
63,2,cached,0.766719
64,0,uncached,0.871459
64,1,baseline,0.524271
64,2,cached,0.772604
65,0,uncached,0.791302
65,1,cached,0.76849
65,2,baseline,0.46776
66,0,baseline,0.48677
66,1,uncached,0.786719
66,2,cached,0.77974
67,0,uncached,0.802761
67,1,cached,0.783594
