round,position,mode,elapsed_ms
16,0,uncached,0.612604
16,1,cached,0.572187
16,2,baseline,0.50901
17,0,uncached,0.751771
17,1,baseline,0.44776
17,2,cached,0.512917
18,0,cached,0.490781
18,1,uncached,0.498906
18,2,baseline,0.442761
19,0,uncached,0.509791
19,1,cached,0.485521
19,2,baseline,0.440312
20,0,baseline,0.439166
20,1,cached,0.486094
20,2,uncached,0.504531
21,0,uncached,0.502812
21,1,baseline,0.427865
21,2,cached,0.503021
22,0,cached,0.4825
22,1,baseline,0.461562
22,2,uncached,0.530521
23,0,cached,0.483334
23,1,baseline,0.457916
23,2,uncached,0.524323
24,0,uncached,0.501875
24,1,baseline,0.439323
24,2,cached,0.502865
25,0,cached,0.502239
25,1,baseline,0.438854
25,2,uncached,0.503645
26,0,uncached,0.502864
26,1,baseline,0.43974
26,2,cached,0.503073
27,0,cached,0.483125
27,1,uncached,0.506354
27,2,baseline,0.538281
28,0,uncached,0.54526
28,1,baseline,0.463698
28,2,cached,0.491719
29,0,baseline,0.438854
29,1,cached,0.481875
29,2,uncached,0.503594
30,0,baseline,0.459166
30,1,cached,0.50474
30,2,uncached,0.521511
31,0,cached,0.509271
31,1,uncached,0.520729
31,2,baseline,0.461927
32,0,uncached,0.523282
32,1,baseline,0.460104
32,2,cached,0.504792
33,0,baseline,0.460261
33,1,uncached,0.523802
33,2,cached,0.505
34,0,uncached,0.527917
34,1,baseline,0.460573
34,2,cached,0.501458
35,0,uncached,0.521094
35,1,baseline,0.438334
35,2,cached,0.481615
36,0,baseline,0.458333
36,1,cached,0.482396
36,2,uncached,0.501718
37,0,uncached,0.503541
37,1,baseline,0.426615
37,2,cached,0.480157
38,0,uncached,0.488854
38,1,cached,0.481094
38,2,baseline,0.437917
39,0,cached,0.484167
39,1,uncached,0.557865
39,2,baseline,0.449167
40,0,cached,0.486927
40,1,baseline,0.443334
40,2,uncached,0.507761
41,0,uncached,0.506198
41,1,cached,0.488073
41,2,baseline,0.442969
42,0,baseline,0.437552
42,1,cached,0.498229
42,2,uncached,0.522604
43,0,uncached,0.51599
43,1,baseline,0.449063
43,2,cached,0.495208
44,0,uncached,0.516093
44,1,baseline,0.451407
44,2,cached,0.496719
45,0,baseline,0.459896
45,1,uncached,0.506042
45,2,cached,0.483334
46,0,baseline,0.447083
46,1,uncached,0.52099
46,2,cached,0.497343
47,0,cached,0.49474
47,1,uncached,0.515989
47,2,baseline,0.449584
48,0,cached,0.496302
48,1,uncached,0.517187
48,2,baseline,0.44849
49,0,uncached,0.521302
49,1,baseline,0.441042
49,2,cached,0.49599
50,0,cached,0.482708
50,1,baseline,0.447239
50,2,uncached,0.540625
51,0,baseline,0.444375
51,1,cached,0.485625
51,2,uncached,0.504114
52,0,cached,0.486198
52,1,baseline,0.442031
52,2,uncached,0.507709
53,0,uncached,0.510729
53,1,baseline,0.44099
53,2,cached,0.485573
54,0,uncached,0.504428
54,1,cached,0.490573
54,2,baseline,0.438385
55,0,cached,0.482135
55,1,uncached,0.50151
55,2,baseline,0.439844
56,0,baseline,0.438646
56,1,uncached,0.583125
56,2,cached,0.502031
57,0,baseline,0.451355
57,1,cached,0.473542
57,2,uncached,0.500781
58,0,uncached,0.501719
58,1,baseline,0.434583
58,2,cached,0.477656
59,0,uncached,0.504479
59,1,baseline,0.437656
59,2,cached,0.482188
60,0,cached,0.477656
60,1,baseline,0.438646
60,2,uncached,0.502396
61,0,baseline,0.438385
61,1,uncached,0.493854
61,2,cached,0.481615
62,0,baseline,0.437812
62,1,cached,0.469323
62,2,uncached,0.493177
63,0,uncached,0.517865
63,1,baseline,0.455052
63,2,cached,0.495573
64,0,uncached,0.501562
64,1,baseline,0.42698
64,2,cached,0.4975
65,0,uncached,0.500833
65,1,cached,0.497604
65,2,baseline,0.438073
66,0,baseline,0.426927
66,1,uncached,0.51776
66,2,cached,0.484219
67,0,uncached,0.500885
67,1,cached,0.481979
67,2,baseline,0.43849
68,0,baseline,0.437656
68,1,uncached,0.508594
68,2,cached,0.483073
69,0,uncached,0.508958
69,1,cached,0.496927
69,2,baseline,0.452969
70,0,uncached,0.503958
70,1,baseline,0.439323
70,2,cached,0.47099
71,0,baseline,0.4525
71,1,uncached,0.517761
71,2,cached,0.481771
72,0,cached,0.482552
