round,position,mode,elapsed_ms
16,0,uncached,0.52099
16,1,cached,0.500313
16,2,baseline,0.48349
17,0,uncached,0.551979
17,1,baseline,0.501823
17,2,cached,0.521927
18,0,cached,0.530052
18,1,uncached,0.548333
18,2,baseline,0.518802
19,0,uncached,0.562344
19,1,cached,0.528698
19,2,baseline,0.502969
20,0,baseline,0.501771
20,1,cached,0.537917
20,2,uncached,0.555781
21,0,uncached,0.545833
21,1,baseline,0.501406
21,2,cached,0.539219
22,0,cached,0.529062
22,1,baseline,0.481614
22,2,uncached,0.538281
23,0,cached,0.510781
23,1,baseline,0.480573
23,2,uncached,0.59026
24,0,uncached,0.52526
24,1,baseline,0.486563
24,2,cached,0.51224
25,0,cached,0.497656
25,1,baseline,0.468385
25,2,uncached,0.525
26,0,uncached,0.517083
26,1,baseline,0.4825
26,2,cached,0.4975
27,0,cached,0.504584
27,1,uncached,0.520365
27,2,baseline,0.481094
28,0,uncached,0.529896
28,1,baseline,0.479063
28,2,cached,0.506042
29,0,baseline,0.483229
29,1,cached,0.508281
29,2,uncached,0.51651
30,0,baseline,0.472604
30,1,cached,0.512136
30,2,uncached,0.519271
31,0,cached,0.511979
31,1,uncached,0.515416
31,2,baseline,0.474792
32,0,uncached,0.532552
32,1,baseline,0.478333
32,2,cached,0.512396
33,0,baseline,0.482031
33,1,uncached,0.529948
33,2,cached,0.500312
34,0,uncached,0.527135
34,1,baseline,0.483021
34,2,cached,0.51
35,0,uncached,0.523958
35,1,baseline,0.496407
35,2,cached,0.536146
36,0,baseline,0.49875
36,1,cached,0.528698
36,2,uncached,0.530938
37,0,uncached,0.530677
37,1,baseline,0.487343
37,2,cached,0.533958
38,0,uncached,0.540886
38,1,cached,0.507084
38,2,baseline,0.468073
39,0,cached,0.502656
39,1,uncached,0.52625
39,2,baseline,0.477709
40,0,cached,0.509167
40,1,baseline,0.480677
40,2,uncached,0.526667
41,0,uncached,0.544948
41,1,cached,0.528854
41,2,baseline,0.585938
42,0,baseline,0.497604
42,1,cached,0.499479
42,2,uncached,0.551563
43,0,uncached,0.553594
43,1,baseline,0.479063
43,2,cached,0.49599
44,0,uncached,0.520208
44,1,baseline,0.467552
44,2,cached,0.514583
45,0,baseline,0.500052
45,1,uncached,0.53401
45,2,cached,0.514271
46,0,baseline,0.481302
46,1,uncached,0.549271
46,2,cached,0.534531
47,0,cached,0.528125
47,1,uncached,0.528906
47,2,baseline,0.497396
48,0,cached,0.515261
48,1,uncached,0.555365
48,2,baseline,0.486302
