round,position,mode,elapsed_ms
16,0,uncached,0.791302
16,1,cached,0.759271
16,2,baseline,0.502968
17,0,uncached,0.789271
17,1,baseline,0.48599
17,2,cached,0.778542
18,0,cached,0.774687
18,1,uncached,0.836198
18,2,baseline,0.509843
19,0,uncached,0.791458
19,1,cached,0.769531
19,2,baseline,0.502136
20,0,baseline,0.501094
20,1,cached,0.791719
20,2,uncached,0.789792
21,0,uncached,0.807969
21,1,baseline,0.482604
21,2,cached,0.771146
22,0,cached,0.758854
22,1,baseline,0.483802
22,2,uncached,0.826042
23,0,cached,0.78
23,1,baseline,0.482084
23,2,uncached,0.792292
24,0,uncached,0.788854
24,1,baseline,0.501719
24,2,cached,0.770313
25,0,cached,0.771146
25,1,baseline,0.502031
25,2,uncached,0.813958
26,0,uncached,0.78875
26,1,baseline,0.479635
26,2,cached,0.803438
27,0,cached,0.794479
27,1,uncached,0.7925
27,2,baseline,0.483282
28,0,uncached,0.812865
28,1,baseline,0.49677
28,2,cached,0.791771
29,0,baseline,0.5075
29,1,cached,0.769688
29,2,uncached,0.797657
30,0,baseline,0.481823
30,1,cached,0.795052
30,2,uncached,0.78875
31,0,cached,0.803854
31,1,uncached,0.793386
31,2,baseline,0.473125
32,0,uncached,0.788854
32,1,baseline,0.495989
32,2,cached,0.775989
33,0,baseline,0.50302
33,1,uncached,0.808698
33,2,cached,0.758906
34,0,uncached,0.787396
34,1,baseline,0.489218
34,2,cached,0.77
35,0,uncached,0.807292
35,1,baseline,0.507917
35,2,cached,0.788594
36,0,baseline,0.489063
36,1,cached,0.778489
36,2,uncached,0.871198
37,0,uncached,0.820833
37,1,baseline,0.470677
37,2,cached,0.789583
38,0,uncached,0.794948
38,1,cached,0.804948
38,2,baseline,0.50448
39,0,cached,0.801823
39,1,uncached,0.802864
39,2,baseline,0.503906
40,0,cached,0.790104
40,1,baseline,0.487031
40,2,uncached,0.813802
41,0,uncached,0.792136
41,1,cached,0.770053
41,2,baseline,0.483281
42,0,baseline,0.499688
42,1,cached,0.784687
42,2,uncached,0.776406
43,0,uncached,0.821354
43,1,baseline,0.511198
43,2,cached,0.795208
44,0,uncached,0.788125
44,1,baseline,0.483541
44,2,cached,0.758646
45,0,baseline,0.484583
45,1,uncached,0.806302
45,2,cached,0.788542
46,0,baseline,0.505209
46,1,uncached,0.812031
46,2,cached,0.764948
47,0,cached,0.770312
47,1,uncached,0.801875
47,2,baseline,0.484687
48,0,cached,0.769635
48,1,uncached,0.789479
48,2,baseline,0.469271
49,0,uncached,0.790365
49,1,baseline,0.482604
49,2,cached,0.769062
50,0,cached,0.792553
50,1,baseline,0.480729
50,2,uncached,0.808802
51,0,baseline,0.499896
51,1,cached,0.77151
51,2,uncached,0.808334
52,0,cached,0.781771
52,1,baseline,0.481927
52,2,uncached,0.793282
53,0,uncached,0.801822
53,1,baseline,0.482812
53,2,cached,0.773385
54,0,uncached,0.80474
54,1,cached,0.791041
54,2,baseline,0.49125
55,0,cached,0.784323
55,1,uncached,0.787761
55,2,baseline,0.480417
56,0,baseline,0.514896
56,1,uncached,0.790261
56,2,cached,0.773333
57,0,baseline,0.485052
57,1,cached,0.7575
57,2,uncached,0.839896
58,0,uncached,0.802968
58,1,baseline,0.486406
58,2,cached,0.774271
59,0,uncached,0.807553
59,1,baseline,0.480052
59,2,cached,0.793125
60,0,cached,0.803073
60,1,baseline,0.505365
60,2,uncached,0.794063
61,0,baseline,0.480938
61,1,uncached,0.792448
61,2,cached,0.769011
62,0,baseline,0.48
62,1,cached,0.765313
62,2,uncached,0.795885
63,0,uncached,0.791146
63,1,baseline,0.485312
63,2,cached,0.794322
64,0,uncached,0.811719
64,1,baseline,0.508438
64,2,cached,0.796719
65,0,uncached,0.816562
65,1,cached,0.774167
65,2,baseline,0.504636
66,0,baseline,0.48125
66,1,uncached,0.789844
66,2,cached,0.779375
67,0,uncached,0.79427
67,1,cached,0.769948
67,2,baseline,0.500781
68,0,baseline,0.484636
68,1,uncached,0.811875
68,2,cached,0.869583
69,0,uncached,0.825521
69,1,cached,0.770261
69,2,baseline,0.482187
70,0,uncached,0.794948
70,1,baseline,0.470261
70,2,cached,0.781562
71,0,baseline,0.483646
71,1,uncached,0.78776
71,2,cached,0.773906
72,0,cached,0.769687
72,1,baseline,0.499792
72,2,uncached,0.795209
73,0,uncached,0.824167
73,1,cached,0.775677
73,2,baseline,0.48276
74,0,baseline,0.480781
74,1,uncached,0.788906
74,2,cached,0.772292
75,0,cached,0.770572
75,1,uncached,0.799531
75,2,baseline,0.484271
76,0,baseline,0.483125
76,1,uncached,0.79224
76,2,cached,0.795625
77,0,uncached,0.788385
77,1,cached,0.805625
77,2,baseline,0.482083
78,0,uncached,0.795469
78,1,cached,0.772812
78,2,baseline,0.480625
79,0,cached,0.831458
79,1,baseline,0.485313
79,2,uncached,0.790365
80,0,baseline,0.501719
80,1,cached,0.794583
80,2,uncached,0.810104
81,0,cached,0.793958
81,1,uncached,0.86
81,2,baseline,0.51224
82,0,uncached,0.813907
82,1,cached,0.772917
82,2,baseline,0.488646
83,0,uncached,0.787188
83,1,cached,0.767656
83,2,baseline,0.48
84,0,cached,0.769062
84,1,baseline,0.468802
84,2,uncached,0.799115
85,0,uncached,0.782396
85,1,baseline,0.505416
85,2,cached,0.835885
86,0,baseline,0.504844
86,1,uncached,0.793282
86,2,cached,0.771197
87,0,baseline,0.479844
87,1,cached,0.758906
87,2,uncached,0.791615
88,0,baseline,0.479948
88,1,uncached,0.790208
88,2,cached,0.762084
89,0,baseline,0.50401
89,1,uncached,0.788281
89,2,cached,0.777865
90,0,uncached,0.825417
90,1,cached,0.790052
90,2,baseline,0.488802
91,0,uncached,0.811042
91,1,cached,0.792708
91,2,baseline,0.500781
92,0,baseline,0.499323
92,1,cached,0.789635
92,2,uncached,0.809791
93,0,baseline,0.504844
93,1,uncached,0.798334
93,2,cached,0.861875
94,0,cached,0.794687
94,1,uncached,0.796459
94,2,baseline,0.481771
95,0,baseline,0.479479
95,1,uncached,0.78974
95,2,cached,0.777187
96,0,uncached,0.792084
96,1,baseline,0.500157
96,2,cached,0.782136
97,0,baseline,0.506198
97,1,uncached,0.808021
97,2,cached,0.795937
98,0,cached,0.798385
98,1,uncached,0.813021
98,2,baseline,0.505052
99,0,baseline,0.504792
99,1,uncached,0.878437
99,2,cached,0.799427
100,0,uncached,0.813021
100,1,baseline,0.50125
100,2,cached,0.796302
101,0,uncached,0.809792
101,1,baseline,0.499063
101,2,cached,0.828229
102,0,uncached,0.806615
102,1,baseline,0.485677
102,2,cached,0.773593
103,0,cached,0.776146
103,1,uncached,0.789896
103,2,baseline,0.48349
104,0,cached,0.764844
104,1,uncached,0.789531
104,2,baseline,0.485364
105,0,uncached,0.800833
105,1,cached,0.781875
105,2,baseline,0.474948
106,0,baseline,0.529843
106,1,uncached,0.795416
106,2,cached,0.77875
107,0,baseline,0.488125
107,1,uncached,0.796511
107,2,cached,0.774584
108,0,baseline,0.479635
108,1,uncached,0.798125
108,2,cached,0.774532
109,0,cached,0.769948
109,1,baseline,0.480156
109,2,uncached,0.789219
110,0,uncached,0.789271
110,1,cached,0.833646
110,2,baseline,0.471146
111,0,cached,0.770104
111,1,uncached,0.787813
111,2,baseline,0.487239
112,0,uncached,0.793594
112,1,baseline,0.484688
112,2,cached,0.763021
113,0,cached,0.781562
113,1,uncached,0.793437
113,2,baseline,0.483646
114,0,cached,0.770729
114,1,baseline,0.481302
114,2,uncached,0.805053
115,0,uncached,0.795468
115,1,baseline,0.469531
115,2,cached,0.77198
116,0,uncached,0.791875
116,1,cached,0.777292
116,2,baseline,0.487864
117,0,uncached,0.796198
117,1,cached,0.777761
117,2,baseline,0.484844
118,0,cached,0.774948
118,1,uncached,0.791771
118,2,baseline,0.469532
119,0,baseline,0.479843
119,1,uncached,0.909062
119,2,cached,0.797917
120,0,cached,0.774219
120,1,uncached,0.790052
120,2,baseline,0.470104
121,0,uncached,0.861197
121,1,cached,0.774479
121,2,baseline,0.500833
122,0,uncached,0.804218
122,1,baseline,0.503907
122,2,cached,0.793855
123,0,uncached,0.812813
123,1,baseline,0.512344
123,2,cached,0.79
124,0,cached,0.77823
124,1,uncached,0.786823
124,2,baseline,0.486823
125,0,baseline,0.479218
125,1,cached,0.789948
125,2,uncached,0.785677
126,0,uncached,0.775886
126,1,baseline,0.480104
126,2,cached,0.771979
127,0,cached,0.769532
127,1,uncached,0.828125
127,2,baseline,0.507448
128,0,baseline,0.507031
128,1,cached,0.77026
128,2,uncached,0.807396
129,0,cached,0.769271
129,1,baseline,0.484115
129,2,uncached,0.787708
130,0,cached,0.795677
130,1,baseline,0.479167
130,2,uncached,0.77776
131,0,uncached,0.792812
131,1,cached,0.770625
131,2,baseline,0.546197
132,0,baseline,0.505886
132,1,uncached,0.782448
132,2,cached,0.776771
133,0,baseline,0.502865
133,1,cached,0.769062
133,2,uncached,0.788177
134,0,uncached,0.787291
134,1,cached,0.790208
134,2,baseline,0.485677
135,0,uncached,0.792292
135,1,cached,0.777604
135,2,baseline,0.483021
136,0,baseline,0.521719
136,1,uncached,0.819948
136,2,cached,0.777344
137,0,baseline,0.483333
137,1,cached,0.791927
137,2,uncached,0.787864
138,0,baseline,0.488906
138,1,cached,0.768906
138,2,uncached,0.791614
139,0,uncached,0.781407
139,1,baseline,0.4825
139,2,cached,0.772239
140,0,uncached,0.801927
140,1,baseline,0.505052
140,2,cached,0.777552
141,0,baseline,0.49276
141,1,cached,0.758803
141,2,uncached,0.823386
142,0,baseline,0.567083
142,1,cached,0.799583
142,2,uncached,0.78849
143,0,baseline,0.47349
143,1,cached,0.771302
143,2,uncached,0.793646
144,0,baseline,0.505834
144,1,uncached,0.774844
144,2,cached,0.803385
145,0,baseline,0.482864
145,1,cached,0.783385
145,2,uncached,0.784531
146,0,baseline,0.502812
146,1,uncached,0.814011
146,2,cached,0.789739
147,0,cached,0.771667
147,1,baseline,0.483542
147,2,uncached,0.791718
148,0,cached,0.771094
148,1,uncached,0.78776
148,2,baseline,0.502968
149,0,baseline,0.483594
149,1,uncached,0.78849
149,2,cached,0.789584
150,0,baseline,0.48
150,1,cached,0.771615
150,2,uncached,0.790208
151,0,uncached,0.817084
151,1,baseline,0.479896
151,2,cached,0.764062
152,0,cached,0.763646
152,1,uncached,0.802656
152,2,baseline,0.472604
153,0,cached,0.826458
153,1,uncached,0.788229
153,2,baseline,0.481198
154,0,baseline,0.520521
154,1,uncached,0.793282
154,2,cached,0.778125
155,0,cached,0.799062
155,1,baseline,0.481667
155,2,uncached,0.808229
156,0,baseline,0.481459
156,1,uncached,0.798854
156,2,cached,0.776875
157,0,uncached,0.789323
157,1,baseline,0.524271
157,2,cached,0.801302
158,0,uncached,0.789219
158,1,baseline,0.500209
158,2,cached,0.769739
159,0,uncached,0.786927
159,1,cached,0.792604
159,2,baseline,0.484323
160,0,cached,0.792761
160,1,baseline,0.48
160,2,uncached,0.796459
161,0,uncached,0.802292
161,1,cached,0.803073
