round,position,mode,elapsed_ms
16,0,uncached,0.784063
16,1,cached,0.77677
16,2,baseline,0.473854
17,0,uncached,0.772239
17,1,baseline,0.441875
17,2,cached,0.741146
18,0,cached,0.744635
18,1,uncached,0.781979
18,2,baseline,0.461407
19,0,uncached,0.753125
19,1,cached,0.732396
19,2,baseline,0.452812
20,0,baseline,0.45224
20,1,cached,0.752396
20,2,uncached,0.811145
21,0,uncached,0.79177
21,1,baseline,0.471823
21,2,cached,0.747761
22,0,cached,0.75099
22,1,baseline,0.451458
22,2,uncached,0.766719
23,0,cached,0.767968
23,1,baseline,0.471927
23,2,uncached,0.868125
24,0,uncached,0.794948
24,1,baseline,0.472187
24,2,cached,0.764636
25,0,cached,0.787031
25,1,baseline,0.464479
25,2,uncached,0.790573
26,0,uncached,0.783437
26,1,baseline,0.474427
26,2,cached,0.764948
27,0,cached,0.770469
27,1,uncached,0.792656
27,2,baseline,0.464218
28,0,uncached,0.76974
28,1,baseline,0.443021
28,2,cached,0.757291
29,0,baseline,0.471458
29,1,cached,0.75823
29,2,uncached,0.76677
30,0,baseline,0.453281
30,1,cached,0.744895
30,2,uncached,0.752344
31,0,cached,0.748073
31,1,uncached,0.764896
31,2,baseline,0.452552
32,0,uncached,0.75875
32,1,baseline,0.455365
32,2,cached,0.733646
33,0,baseline,0.453594
33,1,uncached,0.76875
33,2,cached,0.79125
34,0,uncached,0.768437
34,1,baseline,0.452239
34,2,cached,0.752291
35,0,uncached,0.761563
35,1,baseline,0.451094
35,2,cached,0.750365
36,0,baseline,0.452604
36,1,cached,0.746146
36,2,uncached,0.751667
37,0,uncached,0.762917
37,1,baseline,0.450989
37,2,cached,0.748854
38,0,uncached,0.762708
38,1,cached,0.843282
38,2,baseline,0.472292
39,0,cached,0.746562
39,1,uncached,0.763438
39,2,baseline,0.452396
40,0,cached,0.739844
40,1,baseline,0.45151
40,2,uncached,0.781615
41,0,uncached,0.764896
41,1,cached,0.765521
41,2,baseline,0.450209
42,0,baseline,0.449948
42,1,cached,0.740052
42,2,uncached,0.776615
43,0,uncached,0.763958
43,1,baseline,0.450677
43,2,cached,0.746823
44,0,uncached,0.761406
44,1,baseline,0.450938
44,2,cached,0.747292
45,0,baseline,0.45125
45,1,uncached,0.76599
45,2,cached,0.743594
46,0,baseline,0.571875
46,1,uncached,0.755885
46,2,cached,0.745208
47,0,cached,0.744531
47,1,uncached,0.85099
47,2,baseline,0.47125
48,0,cached,0.75625
48,1,uncached,0.761615
48,2,baseline,0.47125
49,0,uncached,0.762396
49,1,baseline,0.451094
49,2,cached,0.735989
50,0,cached,0.746875
50,1,baseline,0.452448
50,2,uncached,0.764948
51,0,baseline,0.450677
51,1,cached,0.736302
51,2,uncached,0.797812
52,0,cached,0.769219
52,1,baseline,0.457709
52,2,uncached,0.764063
53,0,uncached,0.765834
53,1,baseline,0.459688
53,2,cached,0.744063
54,0,uncached,0.761354
54,1,cached,0.74474
54,2,baseline,0.451302
55,0,cached,0.743959
55,1,uncached,0.767396
55,2,baseline,0.450625
56,0,baseline,0.450521
56,1,uncached,0.814584
56,2,cached,0.767396
57,0,baseline,0.472812
57,1,cached,0.765
57,2,uncached,0.766407
