case,stage,samples,p50_us,p95_us
scene_a_motion,baseline_selector_us,20,2857.15,2895.87
scene_a_motion,motion_estimator_us,20,93.41,100.42
scene_a_motion,residual_build_us,20,79.53,85.18
scene_a_motion,residual_predicted_zstd_us,20,729.19,739.0
scene_a_zero_ack_fallback,baseline_selector_us,20,11.55,13.54
scene_b_motion,baseline_selector_us,20,2987.82,3034.64
scene_b_motion,motion_estimator_us,20,96.77,103.08
scene_b_motion,residual_build_us,20,78.47,82.7
scene_b_motion,residual_predicted_zstd_us,20,1148.53,1167.23
scene_a_to_b_cut_then_static,baseline_selector_us,20,12.02,12.41
scene_a_to_b_cut_then_static,motion_estimator_us,20,36.61,37.05
scene_a_to_b_cut_then_static,residual_build_us,20,59.92,61.12
scene_a_to_b_cut_then_static,residual_predicted_zstd_us,20,207.12,212.36
