variant,run,case,frame_id,mode,reference_id,encode_ms,wire_bytes,detail_bytes,decoded_raw_bytes,decoded_raw_fnv1a64,wire_fnv1a64
baseline,run1,scene_a_motion,206,motion,205,8.6094,68796,66121,722128,cb4936b83fc54820,e1c90954ce4492bd
baseline,run1,scene_a_motion,207,motion,206,8.5261,68782,66107,722128,bbdf2f71a384be64,43274cc5dd2c2712
baseline,run1,scene_a_motion,208,independent,0,6.1416,111931,109256,722128,b518c6fec7367c52,e5cb2b454808b137
baseline,run1,scene_a_motion,209,motion,208,8.5770,68832,66157,722128,ed0cedb14d52229b,5b5986b152500f99
baseline,run1,scene_a_motion,210,motion,209,8.6904,69008,66333,722128,91631cae452a6392,520d2f6665115aed
baseline,run1,scene_a_motion,211,motion,210,8.5880,69277,66602,722128,bd77593c5cc518e1,1f28ad6da87fe846
baseline,run1,scene_a_motion,212,motion,211,8.3804,69070,66395,722128,83092df7ffed8818,74457c849d72d29b
baseline,run1,scene_a_motion,213,motion,212,8.5777,69246,66571,722128,f742cf7e2e870c52,59667e1e6f77fd4e
baseline,run1,scene_a_motion,214,motion,213,8.5840,69287,66612,722128,3a211f651c2c6fe9,f0e56ed2efe7fe06
baseline,run1,scene_a_motion,215,motion,214,9.0429,69322,66647,722128,c00fcdc050f3c73d,a322da5173e30889
baseline,run1,scene_a_motion,216,independent,0,6.3715,110442,107767,722128,b770bd20e5730045,75d7fea320f408c5
baseline,run1,scene_a_motion,217,motion,216,8.9503,68576,65901,722128,5103c37306df0ec6,759db098d0b3beb0
baseline,run1,scene_a_motion,218,motion,217,8.6432,68856,66181,722128,87abc823a6071aa3,f141193250b7f752
baseline,run1,scene_a_motion,219,motion,218,8.4894,68541,65866,722128,18b3c37933e0e666,ca77c3c00752695c
baseline,run1,scene_a_motion,220,motion,219,8.4886,68748,66073,722128,9699386f4ccbbce4,7d896153e4db278e
baseline,run1,scene_a_motion,221,motion,220,8.6384,68421,65746,722128,0f2b2763b4a6c70c,59643959f8cf4d81
baseline,run1,scene_a_motion,222,motion,221,8.5117,68651,65976,722128,cc72a0676ed89484,9a8da1d2c7aa099a
baseline,run1,scene_a_motion,223,motion,222,8.5135,68496,65821,722128,08b6cd853f8f0ef6,8b49e9c453bd10bf
baseline,run1,scene_a_motion,224,independent,0,6.9041,108390,105715,722128,1d9f2613e564bd13,921c7012b8e265d9
baseline,run1,scene_a_motion,225,motion,224,8.5888,68194,65519,722128,1945d4166d577fbd,ff8ae78dfb0c90a6
baseline,run1,scene_a_motion,226,motion,225,8.9515,68306,65631,722128,b68dab58bf1b0332,20a4c8a682c7a0d3
baseline,run1,scene_a_motion,227,motion,226,8.9781,68127,65452,722128,fd87d0e38b28bf3c,988e0aaec3eb7ee6
baseline,run1,scene_a_motion,228,motion,227,8.7596,68628,65953,722128,65aaf509e73b0723,e4a703717f0e7a35
baseline,run1,scene_a_motion,229,motion,228,8.8155,68461,65786,722128,e6054ffa45837d2c,db65e35ccfbf3223
baseline,run1,scene_a_zero_ack_fallback,206,independent,0,3.7818,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run1,scene_a_zero_ack_fallback,207,independent,0,3.6392,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run1,scene_a_zero_ack_fallback,208,independent,0,3.8725,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run1,scene_a_zero_ack_fallback,209,independent,0,3.5092,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
baseline,run1,scene_a_zero_ack_fallback,210,independent,0,3.7947,111044,108369,722128,a58d19033e16e539,3404aa2f489d6c78
