arm,run,scenario,phase,id,detail_mode,bytes,wire_bytes,encode_ms,raw_fnv
global,1,opposing_source_motion,measured,106,independent,106799,109474,8.36220,ff395193d88bc8c9
global,1,opposing_source_motion,measured,107,independent,106779,109454,7.85687,4f52882856be3545
global,1,opposing_source_motion,measured,108,global-v1,88163,90838,7.97873,8309a486743f0a90
global,1,opposing_source_motion,measured,109,independent,106615,109290,8.23746,149c45cd25e7b10a
global,1,opposing_source_motion,measured,110,independent,106591,109266,8.10095,16e1934bca8f3cb8
global,1,opposing_source_motion,measured,111,independent,105973,108648,7.93644,66b84d6b8554f57e
global,1,opposing_source_motion,measured,112,independent,105920,108595,7.05113,9a40b907fe014bf8
global,1,opposing_source_motion,measured,113,independent,105691,108366,7.86939,5310cff95a1ba6b0
global,1,opposing_source_motion,measured,114,independent,105299,107974,8.13201,b0f74ef7eaa496e3
global,1,opposing_source_motion,measured,115,independent,105178,107853,7.85936,7edb23c91470d08d
global,1,opposing_source_motion,measured,116,global-v1,87688,90363,8.01485,f434cf8f782297eb
global,1,opposing_source_motion,measured,117,independent,106302,108977,8.21379,ee71fb6411e8bcba
global,1,opposing_source_motion,measured,118,independent,106906,109581,8.67039,1b566ab8e9a740ef
global,1,opposing_source_motion,measured,119,independent,106966,109641,8.07877,b1a6f8333481ad4a
global,1,opposing_source_motion,measured,120,independent,107509,110184,7.00632,9e4fb7c218b22221
global,1,opposing_source_motion,measured,121,independent,107707,110382,7.88876,e262794690d637f7
global,1,opposing_source_motion,measured,122,independent,107785,110460,8.06706,44899969c1ba8c85
global,1,opposing_source_motion,measured,123,independent,107929,110604,8.11668,9a63ad4415d75d91
global,1,opposing_source_motion,measured,124,independent,107450,110125,8.04641,331e6f37fd61a64e
global,1,opposing_source_motion,measured,125,independent,107890,110565,8.09523,0b7257ed2bf0a600
global,1,opposing_source_motion,measured,126,independent,107981,110656,7.99549,8d3c248a31384b0b
global,1,opposing_source_motion,measured,127,independent,108314,110989,8.01684,e1237500ecff0a97
global,1,opposing_source_motion,measured,128,independent,108037,110712,7.07565,6f8bf78fa41def42
global,1,opposing_source_motion,measured,129,global-v1,97161,99836,7.97232,4c97bb1969c64238
global,1,continuous_pan_source,measured,106,global-v1,66121,68796,9.06489,cb4936b83fc54820
global,1,continuous_pan_source,measured,107,global-v1,66107,68782,9.64855,bbdf2f71a384be64
global,1,continuous_pan_source,measured,108,global-v1,66344,69019,9.36601,b518c6fec7367c52
global,1,continuous_pan_source,measured,109,global-v1,66157,68832,8.86097,ed0cedb14d52229b
global,1,continuous_pan_source,measured,110,global-v1,66333,69008,8.83629,91631cae452a6392
global,1,continuous_pan_source,measured,111,global-v1,66602,69277,8.35417,bd77593c5cc518e1
global,1,continuous_pan_source,measured,112,independent,108088,110763,7.21991,83092df7ffed8818
global,1,continuous_pan_source,measured,113,global-v1,66571,69246,8.12602,f742cf7e2e870c52
global,1,continuous_pan_source,measured,114,global-v1,66612,69287,8.13279,3a211f651c2c6fe9
global,1,continuous_pan_source,measured,115,global-v1,66647,69322,7.93399,c00fcdc050f3c73d
global,1,continuous_pan_source,measured,116,global-v1,66330,69005,8.17346,b770bd20e5730045
global,1,continuous_pan_source,measured,117,global-v1,65901,68576,8.16365,5103c37306df0ec6
global,1,continuous_pan_source,measured,118,global-v1,66181,68856,7.86327,87abc823a6071aa3
