mode,phase,sample,us,raw_bytes,exact
four_regions,warm,0,85.26,561808,1
global,warm,1,68.34,561808,1
global,warm,1,61.9,561808,1
four_regions,warm,0,59.73,561808,1
global,warm,2,52.64,561808,1
four_regions,warm,3,51.37,561808,1
four_regions,warm,3,52.45,561808,1
global,warm,2,54.77,561808,1
four_regions,warm,4,54.301,561808,1
global,warm,5,48.48,561808,1
global,warm,5,47.97,561808,1
four_regions,warm,4,41.73,561808,1
global,warm,6,47.03,561808,1
four_regions,warm,7,50.62,561808,1
four_regions,warm,7,47.851,561808,1
global,warm,6,40.111,561808,1
four_regions,warm,8,56.85,561808,1
global,warm,9,43.03,561808,1
global,warm,9,42.92,561808,1
four_regions,warm,8,70.46,561808,1
global,warm,10,45.41,561808,1
four_regions,warm,11,41.44,561808,1
four_regions,warm,11,47.011,561808,1
global,warm,10,45.27,561808,1
four_regions,warm,12,51.39,561808,1
global,warm,13,43.36,561808,1
global,warm,13,46.11,561808,1
four_regions,warm,12,43.72,561808,1
global,warm,14,42.59,561808,1
four_regions,warm,15,53.61,561808,1
four_regions,warm,15,51.57,561808,1
global,warm,14,37.73,561808,1
four_regions,warm,16,44.791,561808,1
global,warm,17,42.06,561808,1
global,warm,17,40.5,561808,1
four_regions,warm,16,42.63,561808,1
global,warm,18,39.49,561808,1
four_regions,warm,19,44.98,561808,1
four_regions,warm,19,42.89,561808,1
global,warm,18,38.29,561808,1
global,warm,20,40.3,561808,1
four_regions,warm,21,43.83,561808,1
four_regions,warm,21,42.961,561808,1
global,warm,20,42.02,561808,1
global,warm,22,62.21,561808,1
four_regions,warm,23,46.59,561808,1
four_regions,warm,23,43.611,561808,1
global,warm,22,38.88,561808,1
four_regions,measured,0,42.62,561808,1
global,measured,1,39.111,561808,1
global,measured,1,41.87,561808,1
four_regions,measured,0,45.34,561808,1
global,measured,2,37.811,561808,1
four_regions,measured,3,81.89,561808,1
four_regions,measured,3,40.68,561808,1
global,measured,2,42.971,561808,1
global,measured,4,38.91,561808,1
four_regions,measured,5,46.91,561808,1
four_regions,measured,5,50.471,561808,1
global,measured,4,42.52,561808,1
four_regions,measured,6,49.7,561808,1
global,measured,7,38.22,561808,1
global,measured,7,37.03,561808,1
four_regions,measured,6,47.99,561808,1
global,measured,8,40.3,561808,1
four_regions,measured,9,40.861,561808,1
four_regions,measured,9,40.51,561808,1
global,measured,8,36.93,561808,1
four_regions,measured,10,43.51,561808,1
global,measured,11,38.83,561808,1
global,measured,11,39.65,561808,1
four_regions,measured,10,42.97,561808,1
four_regions,measured,12,41.001,561808,1
global,measured,13,34.91,561808,1
global,measured,13,43.42,561808,1
four_regions,measured,12,98.971,561808,1
global,measured,14,40.28,561808,1
four_regions,measured,15,59.04,561808,1
four_regions,measured,15,63.59,561808,1
global,measured,14,41.51,561808,1
global,measured,16,50.7,561808,1
four_regions,measured,17,40.13,561808,1
four_regions,measured,17,41.59,561808,1
global,measured,16,37.14,561808,1
four_regions,measured,18,39.99,561808,1
global,measured,19,39,561808,1
global,measured,19,37.4,561808,1
four_regions,measured,18,40.141,561808,1
global,measured,20,39.48,561808,1
four_regions,measured,21,44.56,561808,1
four_regions,measured,21,52.451,561808,1
global,measured,20,39.55,561808,1
global,measured,22,37.81,561808,1
four_regions,measured,23,40.521,561808,1
four_regions,measured,23,40.45,561808,1
global,measured,22,37.52,561808,1
