mode,phase,sample,us,raw_bytes,exact
four_regions,warm,0,159.114,561808,1
global,warm,1,139.739,561808,1
global,warm,1,158.75,561808,1
four_regions,warm,0,155.208,561808,1
global,warm,2,132.968,561808,1
four_regions,warm,3,135.572,561808,1
four_regions,warm,3,123.854,561808,1
global,warm,2,103.646,561808,1
four_regions,warm,4,120.938,561808,1
global,warm,5,105.156,561808,1
global,warm,5,104.114,561808,1
four_regions,warm,4,120.677,561808,1
global,warm,6,103.75,561808,1
four_regions,warm,7,119.792,561808,1
four_regions,warm,7,120.312,561808,1
global,warm,6,104.531,561808,1
four_regions,warm,8,119.896,561808,1
global,warm,9,105.052,561808,1
global,warm,9,103.281,561808,1
four_regions,warm,8,111.875,561808,1
global,warm,10,105.573,561808,1
four_regions,warm,11,104.896,561808,1
four_regions,warm,11,104.479,561808,1
global,warm,10,91.511,561808,1
four_regions,warm,12,102.708,561808,1
global,warm,13,92.5,561808,1
global,warm,13,91.718,561808,1
four_regions,warm,12,102.813,561808,1
global,warm,14,89.896,561808,1
four_regions,warm,15,103.125,561808,1
four_regions,warm,15,103.125,561808,1
global,warm,14,90,561808,1
four_regions,warm,16,140.834,561808,1
global,warm,17,92.969,561808,1
global,warm,17,93.698,561808,1
four_regions,warm,16,104.427,561808,1
global,warm,18,90.625,561808,1
four_regions,warm,19,105.104,561808,1
four_regions,warm,19,105.729,561808,1
global,warm,18,90.521,561808,1
global,warm,20,91.875,561808,1
four_regions,warm,21,103.75,561808,1
four_regions,warm,21,102.917,561808,1
global,warm,20,90.781,561808,1
global,warm,22,91.459,561808,1
four_regions,warm,23,104.74,561808,1
four_regions,warm,23,105.312,561808,1
global,warm,22,91.875,561808,1
four_regions,measured,0,173.646,561808,1
global,measured,1,99.843,561808,1
global,measured,1,92.344,561808,1
four_regions,measured,0,107.396,561808,1
global,measured,2,92.812,561808,1
four_regions,measured,3,104.844,561808,1
four_regions,measured,3,104.218,561808,1
global,measured,2,91.094,561808,1
global,measured,4,91.666,561808,1
four_regions,measured,5,104.375,561808,1
four_regions,measured,5,103.333,561808,1
global,measured,4,92.552,561808,1
four_regions,measured,6,105.052,561808,1
global,measured,7,93.802,561808,1
global,measured,7,92.708,561808,1
four_regions,measured,6,103.646,561808,1
global,measured,8,93.437,561808,1
four_regions,measured,9,103.75,561808,1
four_regions,measured,9,104.48,561808,1
global,measured,8,90.833,561808,1
four_regions,measured,10,103.177,561808,1
global,measured,11,91.146,561808,1
global,measured,11,90.989,561808,1
four_regions,measured,10,103.073,561808,1
four_regions,measured,12,103.645,561808,1
global,measured,13,94.322,561808,1
global,measured,13,102.656,561808,1
four_regions,measured,12,106.823,561808,1
global,measured,14,91.094,561808,1
four_regions,measured,15,103.229,561808,1
four_regions,measured,15,107.5,561808,1
global,measured,14,119.062,561808,1
global,measured,16,112.656,561808,1
four_regions,measured,17,111.302,561808,1
four_regions,measured,17,107.604,561808,1
global,measured,16,92.5,561808,1
four_regions,measured,18,103.698,561808,1
global,measured,19,90.26,561808,1
global,measured,19,92.5,561808,1
four_regions,measured,18,102.813,561808,1
global,measured,20,89.635,561808,1
four_regions,measured,21,101.927,561808,1
four_regions,measured,21,101.927,561808,1
global,measured,20,89.531,561808,1
global,measured,22,90.105,561808,1
four_regions,measured,23,103.229,561808,1
four_regions,measured,23,102.969,561808,1
global,measured,22,90.469,561808,1
