record,run,build,mean_ms,p50_ms,p95_ms,p50_change_vs_baseline_pct,p95_change_vs_baseline_pct,output_bytes,checksum
run,1,baseline,0.203597,0.203224,0.206355,,,535376,07974e6858546853
run,2,candidate,0.160837,0.160137,0.164408,,,535376,07974e6858546853
run,3,candidate,0.161317,0.160537,0.164878,,,535376,07974e6858546853
run,4,baseline,0.203943,0.203374,0.206695,,,535376,07974e6858546853
run,5,baseline,0.204373,0.203904,0.207875,,,535376,07974e6858546853
run,6,candidate,0.161436,0.160467,0.165908,,,535376,07974e6858546853
run,7,candidate,0.161358,0.160757,0.164568,,,535376,07974e6858546853
run,8,baseline,0.203672,0.203024,0.207385,,,535376,07974e6858546853
run,9,baseline,0.203285,0.202954,0.205894,,,535376,07974e6858546853
run,10,candidate,0.161479,0.161107,0.163968,,,535376,07974e6858546853
run,11,candidate,0.161953,0.161618,0.164948,,,535376,07974e6858546853
run,12,baseline,0.203376,0.202965,0.207905,,,535376,07974e6858546853
median,,baseline,,0.203124,0.207040,,,,
median,,candidate,,0.160647,0.164723,,,,
change_percent,,candidate_vs_baseline,,,,-20.91,-20.44,,
