case,regions,run,variant,phase,frame,mode,body_version,wire_bytes,detail_bytes,encode_ms,raw_fnv64,oracle_match
forest-pan,global,0,baseline,control,anchor,independent,2,101724,99049,7.20873,743740e50850356b,1
forest-pan,global,0,baseline,control,no-ack,independent,2,102116,99441,6.43727,8030ea57249b6c82,1
forest-pan,global,0,baseline,control,ack-pair,global,2,84055,81380,7.54308,8030ea57249b6c82,1
forest-pan,global,0,baseline,control,forgot-ref,independent,2,102116,99441,6.30721,8030ea57249b6c82,1
forest-pan,global,0,baseline,control,anchor-id8,independent,2,102116,99441,6.30430,8030ea57249b6c82,1
forest-pan,global,0,baseline,control,post-reset,independent,2,102116,99441,6.35994,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-01,measure,global,2,84055,81380,7.29912,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-02,measure,global,2,84055,81380,7.38763,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-03,measure,global,2,84055,81380,7.25572,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-04,measure,global,2,84055,81380,7.44130,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-05,measure,global,2,84055,81380,7.50992,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-06,measure,global,2,84055,81380,7.19122,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-07,measure,global,2,84055,81380,7.76797,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-08,measure,global,2,84055,81380,7.58436,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-09,measure,global,2,84055,81380,7.30130,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-10,measure,global,2,84055,81380,7.20653,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-11,measure,global,2,84055,81380,7.57250,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-12,measure,global,2,84055,81380,7.29282,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-13,measure,global,2,84055,81380,7.17976,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-14,measure,global,2,84055,81380,7.45626,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-15,measure,global,2,84055,81380,7.31609,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-16,measure,global,2,84055,81380,7.27604,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-17,measure,global,2,84055,81380,7.30315,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-18,measure,global,2,84055,81380,7.33084,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-19,measure,global,2,84055,81380,7.86232,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-20,measure,global,2,84055,81380,7.39195,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-21,measure,global,2,84055,81380,7.43759,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-22,measure,global,2,84055,81380,7.89343,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-23,measure,global,2,84055,81380,7.37201,8030ea57249b6c82,1
forest-pan,global,0,baseline,measure-24,measure,global,2,84055,81380,7.27261,8030ea57249b6c82,1
forest-pan,global,1,candidate,control,anchor,row-v3,3,91303,88628,9.58422,743740e50850356b,1
forest-pan,global,1,candidate,control,no-ack,row-v3,3,91221,88546,8.53857,8030ea57249b6c82,1
forest-pan,global,1,candidate,control,ack-pair,global,3,77713,75038,9.28956,8030ea57249b6c82,1
forest-pan,global,1,candidate,control,forgot-ref,row-v3,3,91221,88546,8.08547,8030ea57249b6c82,1
forest-pan,global,1,candidate,control,anchor-id8,row-v3,3,91221,88546,7.90272,8030ea57249b6c82,1
forest-pan,global,1,candidate,control,post-reset,row-v3,3,91221,88546,8.02534,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-01,measure,global,3,77713,75038,9.05298,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-02,measure,global,3,77713,75038,9.33204,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-03,measure,global,3,77713,75038,9.64978,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-04,measure,global,3,77713,75038,9.28855,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-05,measure,global,3,77713,75038,9.31193,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-06,measure,global,3,77713,75038,9.06415,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-07,measure,global,3,77713,75038,9.09837,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-08,measure,global,3,77713,75038,9.43783,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-09,measure,global,3,77713,75038,9.55526,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-10,measure,global,3,77713,75038,9.17436,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-11,measure,global,3,77713,75038,9.41369,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-12,measure,global,3,77713,75038,9.29275,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-13,measure,global,3,77713,75038,9.63705,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-14,measure,global,3,77713,75038,9.41356,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-15,measure,global,3,77713,75038,9.57103,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-16,measure,global,3,77713,75038,9.82892,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-17,measure,global,3,77713,75038,9.52176,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-18,measure,global,3,77713,75038,9.43277,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-19,measure,global,3,77713,75038,9.16124,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-20,measure,global,3,77713,75038,9.23437,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-21,measure,global,3,77713,75038,9.48545,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-22,measure,global,3,77713,75038,9.02222,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-23,measure,global,3,77713,75038,9.29457,8030ea57249b6c82,1
forest-pan,global,1,candidate,measure-24,measure,global,3,77713,75038,9.36123,8030ea57249b6c82,1
forest-pan,global,2,candidate,control,anchor,row-v3,3,91303,88628,9.24376,743740e50850356b,1
forest-pan,global,2,candidate,control,no-ack,row-v3,3,91221,88546,8.26175,8030ea57249b6c82,1
forest-pan,global,2,candidate,control,ack-pair,global,3,77713,75038,9.86691,8030ea57249b6c82,1
forest-pan,global,2,candidate,control,forgot-ref,row-v3,3,91221,88546,8.02673,8030ea57249b6c82,1
forest-pan,global,2,candidate,control,anchor-id8,row-v3,3,91221,88546,8.19687,8030ea57249b6c82,1
forest-pan,global,2,candidate,control,post-reset,row-v3,3,91221,88546,7.87522,8030ea57249b6c82,1
