fixture,kind,raw_bytes,baseline_body_bytes,shuffle_body_bytes,baseline_frame_bytes,shuffle_frame_bytes,shuffle_delta_pct,baseline_enc_p50_us,shuffle_enc_p50_us,baseline_dec_p50_us,shuffle_dec_p50_us,exact
forest_s0,raw,523728,56277,58779,56293,58795,4.44587,398.001,503.212,156.291,169.841,1
forest_s8,raw,523728,55771,58071,55787,58087,4.12401,397.562,498.193,158.73,172.69,1
forest_s16,raw,523728,55220,57250,55236,57266,3.6762,395.931,499.473,160.06,172.781,1
dark_s0,raw,523728,88041,88742,88057,88758,0.79622,587.253,579.542,171.11,183.87,1
dark_s8,raw,523728,87461,88628,87477,88644,1.33431,586.132,579.533,170.021,183.181,1
dark_s16,raw,523728,87332,87890,87348,87906,0.638941,586.333,576.252,171.491,182.491,1
forest_0to8,residual,523728,47459,47723,47475,47739,0.55627,343.852,414.582,152.19,159.43,1
forest_8to16,residual,523728,47178,47569,47194,47585,0.828776,345.571,418.262,146.24,160.441,1
dark_0to8,residual,523728,62835,65347,62851,65363,3.99777,442.442,522.432,156.74,172.561,1
dark_8to16,residual,523728,61355,63325,61371,63341,3.21082,427.232,508.543,155.61,171.151,1
