fixture,kind,raw_bytes,baseline_wire_bytes,candidate_wire_bytes,delta_pct,baseline_p50_us,baseline_p95_us,candidate_p50_us,candidate_p95_us,exact
forest_s0,frame,523728,56293,55641,-1.15823,432.812,455.105,845.313,879.115,1
forest_s8,frame,523728,55787,55249,-0.964382,437.448,458.437,851.458,886.771,1
forest_s16,frame,523728,55236,54936,-0.543124,437.291,458.229,869.323,881.719,1
dark_s0,frame,523728,88057,79080,-10.1945,484.323,505.417,896.093,926.302,1
dark_s8,frame,523728,87477,78701,-10.0324,481.094,513.802,878.959,922.969,1
dark_s16,frame,523728,87348,78293,-10.3666,486.145,497.709,882.708,961.198,1
forest_0to8,residual,523728,47475,46194,-2.69826,410.73,436.823,824.948,854.375,1
forest_8to16,residual,523728,47194,46251,-1.99814,406.51,432.969,818.698,860.521,1
dark_0to8,residual,523728,62851,59833,-4.80183,434.687,460.416,836.979,880.052,1
dark_8to16,residual,523728,61371,58968,-3.91553,450.052,453.958,847.813,877.812,1
