case,raw_bytes,baseline_bytes,vertical_bytes,saved_vs_baseline_pct,vertical_zstd_emitted,exact
forest-s0,523728,56293,53576,4.82653,1,1
forest-s8,523728,55787,53004,4.98862,1,1
forest-s16,523728,55236,52573,4.82113,1,1
dark-s0,523728,88057,75668,14.0693,1,1
dark-s8,523728,87477,75417,13.7865,1,1
dark-s16,523728,87348,75038,14.0931,1,1
forest-s0-to-forest-s8,523728,47475,44595,6.06635,1,1
forest-s8-to-forest-s16,523728,47194,44612,5.47103,1,1
dark-s0-to-dark-s8,523728,62851,57405,8.66494,1,1
dark-s8-to-dark-s16,523728,61371,56502,7.93371,1,1
