fixture,kind,phase,block,order,path,sample,decode_us,wire_bytes,exact
forest_s0,frame,warm,0,ABBA,baseline,0,551.094,56293,1
forest_s0,frame,warm,0,ABBA,candidate,1,494.062,53576,1
forest_s0,frame,warm,0,ABBA,candidate,1,637.031,53576,1
forest_s0,frame,warm,0,ABBA,baseline,0,466.667,56293,1
forest_s0,frame,warm,1,ABBA,baseline,2,432.969,56293,1
forest_s0,frame,warm,1,ABBA,candidate,3,448.958,53576,1
forest_s0,frame,warm,1,ABBA,candidate,3,448.229,53576,1
forest_s0,frame,warm,1,ABBA,baseline,2,431.771,56293,1
forest_s0,frame,warm,2,ABBA,baseline,4,451.719,56293,1
forest_s0,frame,warm,2,ABBA,candidate,5,449.687,53576,1
forest_s0,frame,warm,2,ABBA,candidate,5,446.979,53576,1
forest_s0,frame,warm,2,ABBA,baseline,4,431.979,56293,1
forest_s0,frame,warm,3,BAAB,candidate,7,556.042,53576,1
forest_s0,frame,warm,3,BAAB,baseline,6,453.802,56293,1
forest_s0,frame,warm,3,BAAB,baseline,6,429.532,56293,1
forest_s0,frame,warm,3,BAAB,candidate,7,451.875,53576,1
forest_s0,frame,warm,4,BAAB,candidate,9,443.854,53576,1
forest_s0,frame,warm,4,BAAB,baseline,8,430.104,56293,1
forest_s0,frame,warm,4,BAAB,baseline,8,448.333,56293,1
forest_s0,frame,warm,4,BAAB,candidate,9,460.677,53576,1
forest_s0,frame,warm,5,BAAB,candidate,11,444.219,53576,1
forest_s0,frame,warm,5,BAAB,baseline,10,449.322,56293,1
forest_s0,frame,warm,5,BAAB,baseline,10,429.636,56293,1
forest_s0,frame,warm,5,BAAB,candidate,11,442.708,53576,1
forest_s0,frame,warm,6,ABBA,baseline,12,430,56293,1
forest_s0,frame,warm,6,ABBA,candidate,13,447.084,53576,1
forest_s0,frame,warm,6,ABBA,candidate,13,442.656,53576,1
forest_s0,frame,warm,6,ABBA,baseline,12,429.062,56293,1
forest_s0,frame,warm,7,BAAB,candidate,15,480.365,53576,1
forest_s0,frame,warm,7,BAAB,baseline,14,449.583,56293,1
forest_s0,frame,warm,7,BAAB,baseline,14,437.5,56293,1
forest_s0,frame,warm,7,BAAB,candidate,15,478.177,53576,1
forest_s0,frame,warm,8,BAAB,candidate,17,482.5,53576,1
forest_s0,frame,warm,8,BAAB,baseline,16,429.166,56293,1
forest_s0,frame,warm,8,BAAB,baseline,16,426.511,56293,1
forest_s0,frame,warm,8,BAAB,candidate,17,442.396,53576,1
forest_s0,frame,warm,9,ABBA,baseline,18,448.698,56293,1
forest_s0,frame,warm,9,ABBA,candidate,19,478.385,53576,1
forest_s0,frame,warm,9,ABBA,candidate,19,464.636,53576,1
forest_s0,frame,warm,9,ABBA,baseline,18,449.115,56293,1
forest_s0,frame,warm,10,ABBA,baseline,20,447.136,56293,1
forest_s0,frame,warm,10,ABBA,candidate,21,443.281,53576,1
forest_s0,frame,warm,10,ABBA,candidate,21,442.239,53576,1
forest_s0,frame,warm,10,ABBA,baseline,20,448.334,56293,1
forest_s0,frame,warm,11,BAAB,candidate,23,441.823,53576,1
forest_s0,frame,warm,11,BAAB,baseline,22,429.271,56293,1
forest_s0,frame,warm,11,BAAB,baseline,22,426.042,56293,1
forest_s0,frame,warm,11,BAAB,candidate,23,442.396,53576,1
forest_s0,frame,measured,12,ABBA,baseline,0,427.552,56293,1
forest_s0,frame,measured,12,ABBA,candidate,1,466.041,53576,1
forest_s0,frame,measured,12,ABBA,candidate,1,479.895,53576,1
forest_s0,frame,measured,12,ABBA,baseline,0,456.355,56293,1
forest_s0,frame,measured,13,ABBA,baseline,2,450.73,56293,1
forest_s0,frame,measured,13,ABBA,candidate,3,450.625,53576,1
forest_s0,frame,measured,13,ABBA,candidate,3,470.781,53576,1
forest_s0,frame,measured,13,ABBA,baseline,2,436.562,56293,1
forest_s0,frame,measured,14,BAAB,candidate,5,481.823,53576,1
forest_s0,frame,measured,14,BAAB,baseline,4,434.584,56293,1
forest_s0,frame,measured,14,BAAB,baseline,4,429.531,56293,1
forest_s0,frame,measured,14,BAAB,candidate,5,443.177,53576,1
forest_s0,frame,measured,15,ABBA,baseline,6,431.667,56293,1
forest_s0,frame,measured,15,ABBA,candidate,7,452.344,53576,1
forest_s0,frame,measured,15,ABBA,candidate,7,445.416,53576,1
forest_s0,frame,measured,15,ABBA,baseline,6,438.125,56293,1
forest_s0,frame,measured,16,BAAB,candidate,9,482.917,53576,1
forest_s0,frame,measured,16,BAAB,baseline,8,453.698,56293,1
forest_s0,frame,measured,16,BAAB,baseline,8,449.375,56293,1
forest_s0,frame,measured,16,BAAB,candidate,9,491.562,53576,1
forest_s0,frame,measured,17,ABBA,baseline,10,445.938,56293,1
forest_s0,frame,measured,17,ABBA,candidate,11,480.677,53576,1
forest_s0,frame,measured,17,ABBA,candidate,11,481.459,53576,1
forest_s0,frame,measured,17,ABBA,baseline,10,440.937,56293,1
forest_s0,frame,measured,18,ABBA,baseline,12,450.625,56293,1
forest_s0,frame,measured,18,ABBA,candidate,13,479.479,53576,1
forest_s0,frame,measured,18,ABBA,candidate,13,480.052,53576,1
forest_s0,frame,measured,18,ABBA,baseline,12,450.677,56293,1
forest_s0,frame,measured,19,ABBA,baseline,14,449.583,56293,1
forest_s0,frame,measured,19,ABBA,candidate,15,480,53576,1
forest_s0,frame,measured,19,ABBA,candidate,15,480.261,53576,1
forest_s0,frame,measured,19,ABBA,baseline,14,430.157,56293,1
forest_s0,frame,measured,20,ABBA,baseline,16,448.021,56293,1
forest_s0,frame,measured,20,ABBA,candidate,17,453.907,53576,1
forest_s0,frame,measured,20,ABBA,candidate,17,444.271,53576,1
forest_s0,frame,measured,20,ABBA,baseline,16,456.563,56293,1
forest_s0,frame,measured,21,ABBA,baseline,18,453.802,56293,1
forest_s0,frame,measured,21,ABBA,candidate,19,481.198,53576,1
forest_s0,frame,measured,21,ABBA,candidate,19,480.833,53576,1
forest_s0,frame,measured,21,ABBA,baseline,18,445.104,56293,1
forest_s0,frame,measured,22,BAAB,candidate,21,478.073,53576,1
forest_s0,frame,measured,22,BAAB,baseline,20,430.521,56293,1
forest_s0,frame,measured,22,BAAB,baseline,20,427.865,56293,1
forest_s0,frame,measured,22,BAAB,candidate,21,563.177,53576,1
forest_s0,frame,measured,23,BAAB,candidate,23,453.958,53576,1
forest_s0,frame,measured,23,BAAB,baseline,22,450.729,56293,1
forest_s0,frame,measured,23,BAAB,baseline,22,416.927,56293,1
forest_s0,frame,measured,23,BAAB,candidate,23,444.583,53576,1
forest_s8,frame,warm,0,BAAB,candidate,1,473.593,53004,1
forest_s8,frame,warm,0,BAAB,baseline,0,475.156,55787,1
forest_s8,frame,warm,0,BAAB,baseline,0,449.167,55787,1
forest_s8,frame,warm,0,BAAB,candidate,1,488.75,53004,1
forest_s8,frame,warm,1,ABBA,baseline,2,445.156,55787,1
forest_s8,frame,warm,1,ABBA,candidate,3,498.385,53004,1
forest_s8,frame,warm,1,ABBA,candidate,3,453.281,53004,1
forest_s8,frame,warm,1,ABBA,baseline,2,439.375,55787,1
forest_s8,frame,warm,2,ABBA,baseline,4,426.459,55787,1
forest_s8,frame,warm,2,ABBA,candidate,5,469.531,53004,1
forest_s8,frame,warm,2,ABBA,candidate,5,469.895,53004,1
forest_s8,frame,warm,2,ABBA,baseline,4,431.927,55787,1
forest_s8,frame,warm,3,BAAB,candidate,7,470.416,53004,1
forest_s8,frame,warm,3,BAAB,baseline,6,438.907,55787,1
forest_s8,frame,warm,3,BAAB,baseline,6,457.136,55787,1
forest_s8,frame,warm,3,BAAB,candidate,7,469.791,53004,1
forest_s8,frame,warm,4,BAAB,candidate,9,450.729,53004,1
forest_s8,frame,warm,4,BAAB,baseline,8,441.354,55787,1
forest_s8,frame,warm,4,BAAB,baseline,8,435,55787,1
forest_s8,frame,warm,4,BAAB,candidate,9,452.136,53004,1
forest_s8,frame,warm,5,ABBA,baseline,10,436.042,55787,1
forest_s8,frame,warm,5,ABBA,candidate,11,449.687,53004,1
forest_s8,frame,warm,5,ABBA,candidate,11,455.989,53004,1
forest_s8,frame,warm,5,ABBA,baseline,10,485.208,55787,1
forest_s8,frame,warm,6,ABBA,baseline,12,445.834,55787,1
forest_s8,frame,warm,6,ABBA,candidate,13,483.386,53004,1
forest_s8,frame,warm,6,ABBA,candidate,13,451.771,53004,1
forest_s8,frame,warm,6,ABBA,baseline,12,425.885,55787,1
forest_s8,frame,warm,7,BAAB,candidate,15,447.291,53004,1
forest_s8,frame,warm,7,BAAB,baseline,14,457.604,55787,1
forest_s8,frame,warm,7,BAAB,baseline,14,454.688,55787,1
forest_s8,frame,warm,7,BAAB,candidate,15,448.698,53004,1
forest_s8,frame,warm,8,BAAB,candidate,17,485.99,53004,1
forest_s8,frame,warm,8,BAAB,baseline,16,462.969,55787,1
forest_s8,frame,warm,8,BAAB,baseline,16,434.531,55787,1
forest_s8,frame,warm,8,BAAB,candidate,17,468.177,53004,1
