fixture,kind,raw_bytes,baseline_wire_bytes,candidate_wire_bytes,delta_pct,baseline_p50_us,baseline_p95_us,candidate_p50_us,candidate_p95_us,exact
forest_s0,frame,523728,56293,53576,-4.82653,445.104,456.355,479.479,491.562,1
forest_s8,frame,523728,55787,53004,-4.98862,435.105,455.26,448.594,492.708,1
forest_s16,frame,523728,55236,52573,-4.82113,436.823,459.323,465.833,499.896,1
dark_s0,frame,523728,88057,75668,-14.0693,483.698,519.062,491.927,526.562,1
dark_s8,frame,523728,87477,75417,-13.7865,480,511.979,494.375,522.136,1
dark_s16,frame,523728,87348,75038,-14.0931,481.303,505,494.74,547.864,1
forest_0to8,residual,523728,47475,44595,-6.06635,408.386,426.875,420.313,458.282,1
forest_8to16,residual,523728,47194,44612,-5.47103,407.447,433.021,419.323,461.875,1
dark_0to8,residual,523728,62851,57405,-8.66494,437.24,452.292,458.49,490.782,1
dark_8to16,residual,523728,61371,56502,-7.93371,432.24,456.823,452.031,487.5,1
