fixture,lz4_bytes,dense_zstd_bytes,predicted_zstd_bytes,actual_winner,winner_bytes
forest_s0,123119,62266,56293,zstd-v2,56293
forest_s8,121786,61453,55787,zstd-v2,55787
forest_s16,122309,60085,55236,zstd-v2,55236
dark_s0,184480,99237,88057,zstd-v2,88057
dark_s8,181382,99153,87477,zstd-v2,87477
dark_s16,184512,98749,87348,zstd-v2,87348
forest_0to8,92269,52488,47475,zstd-v2,47475
forest_8to16,92359,52407,47194,zstd-v2,47194
dark_0to8,122282,68398,62851,zstd-v2,62851
dark_8to16,120692,67211,61371,zstd-v2,61371
