scene,q,tx,ty,mean_z,disp_seed,disp_est,disocc,edge,activity,bits_intra,bits_stereo,bits_stereo_mv,bits_stereo_est,bits_stereo_rec_mv,bits_warp,bits_warp_mv,sad_intra,sad_stereo_mv,sad_warp_mv,mvx_q2,mvy_q2
room,8,0,0,1.149,26.17,26,0.0000,0.0000,9.63,5143.6,2718.9,2718.9,3399.5,2912.2,5286.4,3264.5,199572,6854,6524,1,0
room,8,1,0,1.151,26.14,26,0.0000,0.0000,8.72,5391.0,3127.0,3136.3,3136.3,3201.4,4898.2,3025.5,187724,8109,5447,-1,0
room,8,2,0,1.152,26.10,26,0.0000,0.0000,8.59,4970.5,2710.7,2710.7,2710.7,2646.0,5239.7,3152.1,185182,5388,5938,-1,0
room,8,3,0,1.154,26.06,26,0.0000,0.0000,9.66,5400.6,3819.3,3819.3,3819.3,3982.8,5762.3,3317.0,266264,10077,6333,0,0
room,8,4,0,1.156,26.03,26,0.0000,0.0000,9.16,5105.7,3293.9,3293.9,3293.9,3414.4,5292.2,2962.0,244186,9612,5746,0,0
room,8,5,0,1.157,25.99,26,0.0000,0.0000,7.54,4314.6,2766.0,2766.0,2766.0,2821.8,3954.4,2640.9,183377,5984,5723,0,0
room,8,6,0,1.159,25.96,26,0.0000,0.0000,6.00,3553.7,2130.6,1092.6,1092.6,1212.5,3328.5,1816.6,155380,2014,3438,-4,0
room,8,7,0,1.160,25.92,26,0.0000,0.0000,8.49,4178.3,2692.6,2692.6,2692.6,2737.9,4303.3,2769.3,207672,10434,6676,0,0
room,8,8,0,1.162,25.89,26,0.0000,0.0000,8.60,4421.3,3323.7,3323.7,3323.7,3421.8,4726.6,2919.5,179679,9773,7702,0,0
room,8,9,0,1.164,25.85,26,0.0000,0.0000,9.03,5044.5,3731.6,3917.2,3917.2,3936.1,4974.8,3252.9,182210,10100,13686,1,0
room,8,10,0,1.165,25.81,26,0.0000,0.0000,6.40,3546.5,2613.0,2333.4,2333.4,2132.6,3246.7,2094.0,87766,3250,4762,-4,0
room,8,11,0,1.167,25.78,26,0.0000,0.0000,4.16,2980.7,2063.6,1796.8,1796.8,1837.0,2905.6,2519.0,87577,5291,23347,5,-5
room,8,12,0,1.168,25.74,26,0.0000,0.0000,5.99,4450.0,3250.2,3335.0,3335.0,3178.4,4203.3,3111.1,157478,8253,39133,4,-5
